iT;t;p1(xAchse);p2(XAchse);p3(diagonal);p4(diagonal)
0;0;0;0;0;0
1;0.00078125;0;0;0;0
2;0.0015625;0;0;0;0
3;0.00234375;0;0;0;0
4;0.003125;0;0;0;0
5;0.00390625;0;0;0;0
6;0.004687500000000001;0;0;0;0
7;0.005468750000000001;0;0;0;0
8;0.00625;0;0;0;0
9;0.00703125;0;0;0;0
10;0.0078125;0;0;0;0
11;0.008593750000000001;0;0;0;0
12;0.009375000000000001;0;0;0;0
13;0.01015625;0;0;0;0
14;0.0109375;0;0;0;0
15;0.01171875;0;0;0;0
16;0.0125;-2.984203698967273e-09;0;0;0
17;0.01328125;-1.930660194678542e-08;0;0;0
18;0.0140625;-8.07878374568342e-08;-2.4256223696284e-09;0;0
19;0.01484375;-2.684597954309235e-07;-1.757492403460977e-08;0;0
20;0.015625;-6.617195443444265e-07;-5.890251486562192e-08;0;0
21;0.01640625;-1.168901386942404e-06;-1.054449967341498e-07;0;0
22;0.0171875;-1.491368190424206e-06;-7.04129282288098e-08;0;0
23;0.01796875;-1.475963927077828e-06;1.17363924800884e-07;0;0
24;0.01875;-1.512698266499986e-06;3.862963543118288e-07;0;0
25;0.01953125;-2.316582898250393e-06;5.654916700829441e-07;0;0
26;0.0203125;-4.418357093527447e-06;5.592349528645476e-07;0;0
27;0.02109375;-8.267471912404289e-06;3.37971262827826e-07;0;0
28;0.021875;-1.440415826436947e-05;-4.456537681107875e-07;0;0
29;0.02265625;-2.25958301598439e-05;-2.701427850600643e-06;0;0
30;0.0234375;-3.079839946925252e-05;-7.236460836187082e-06;0;0
31;0.02421875;-3.561893360407945e-05;-1.389737190038431e-05;0;0
32;0.025;-3.37356186719262e-05;-2.180760763318782e-05;0;0
33;0.02578125;-2.267019650995887e-05;-2.98114982797415e-05;0;0
34;0.0265625;-1.519285433460027e-06;-3.582428265265965e-05;0;0
35;0.02734375;2.767788131071332e-05;-3.649924171137778e-05;0;0
36;0.028125;5.971935661364114e-05;-2.873761544227212e-05;0;0
37;0.02890625;8.774418589988879e-05;-1.146254150323026e-05;-1.51582450295488e-13;0
38;0.0296875;0.0001049871310290958;1.403596464418418e-05;-4.547473508864641e-13;0
39;0.03046875;0.0001065043888957007;4.419290326040937e-05;5.760133111228545e-12;0
40;0.03125;9.078577477339422e-05;7.317978785674011e-05;3.425763376678029e-11;0
41;0.03203125;6.013101968468012e-05;9.42605999322647e-05;7.791337945188086e-11;0
42;0.0328125;1.949971222832876e-05;0.000102224719436587;1.418811734765768e-10;0
43;0.03359375;-2.503640159072044e-05;9.475516950866829e-05;3.162009913163881e-10;3.031649005909761e-13
44;0.034375;-6.723080529506358e-05;7.248718217548837e-05;3.647073754109442e-10;-1.364242052659392e-12
45;0.03515625;-0.0001012907023323351;3.878351678091955e-05;-9.055535580652455e-10;-1.076235397097965e-11
46;0.0359375;-0.0001226261548860445;-1.11803107453549e-06;-5.150316913689797e-09;-1.227817847393453e-11
47;0.03671875;-0.0001283017866929489;-4.158858549393093e-05;-1.350432891437473e-08;2.091837814077735e-11
48;0.03750000000000001;-0.0001172127452567414;-7.747420659143245e-05;-2.68933035840746e-08;9.580010858674844e-11
49;0.03828125;-9.042215469889925e-05;-0.0001042128875875884;-4.577517150513207e-08;4.032093177859982e-10
50;0.0390625;-5.135406111852111e-05;-0.0001180860140266304;-6.749814929207787e-08;1.524616285072019e-09
51;0.03984375;-5.418504012292639e-06;-0.0001168528145475041;-8.565439202357084e-08;4.016631767929842e-09
52;0.040625;4.087543826850985e-05;-0.0001003472395192754;-9.520545063423924e-08;7.906237442512065e-09
53;0.04140625000000001;8.113130904045344e-05;-7.060587434655947e-05;-9.724741782216977e-08;1.292725452609981e-08
54;0.0421875;0.0001101392066023739;-3.160293757294615e-05;-9.498702032336344e-08;1.851276465458795e-08
55;0.04296875;0.0001244120718790024;1.128300482378108e-05;-8.648051637768124e-08;2.29256329475902e-08
56;0.04375;0.0001224093742469753;5.219143713475205e-05;-6.62538089576022e-08;2.380511432420462e-08
57;0.04453125;0.000104614347643898;8.583369435655186e-05;-3.182594809914008e-08;2.10578339950492e-08
58;0.04531250000000001;7.337427208161292e-05;0.0001081822135044301;1.624751651737218e-08;1.815957754539947e-08
59;0.04609375;3.263914034808598e-05;0.0001166772378079865;7.802767261940365e-08;1.9109393178951e-08
60;0.046875;-1.241750305780442e-05;0.0001103077662871025;1.523403625469655e-07;2.474916982464492e-08
61;0.04765625;-5.604375686137549e-05;8.978503198401692e-05;2.311474721257885e-07;3.329144722859686e-08
62;0.0484375;-9.262511108924325e-05;5.752974387481421e-05;3.014856702066027e-07;4.329164463949079e-08
63;0.04921875000000001;-0.0001173208582561832;1.744344778368638e-05;3.543600541888736e-07;5.310751779082542e-08
64;0.05;-0.0001267568221313316;-2.536321502096446e-05;3.843421533626194e-07;5.780930223409086e-08
65;0.05078125;-0.000119638772654677;-6.514066096012054e-05;3.794448275584728e-07;5.079436959931627e-08
66;0.0515625;-9.691720636813746e-05;-9.645752622115349e-05;3.17235693122105e-07;2.862240459459523e-08
67;0.05234375;-6.158363081946543e-05;-0.0001151286614913261;1.697571860859171e-07;-9.367795428261161e-09
68;0.05312500000000001;-1.83055387121082e-05;-0.0001187700160395859;-8.930252685483235e-08;-6.338981014171925e-08
69;0.05390625;2.721844217982531e-05;-0.0001069789589867772;-4.796132391978366e-07;-1.280908084784945e-07
70;0.0546875;6.907871708487316e-05;-8.131354222011093e-05;-1.015717164894643e-06;-1.87093670926212e-07
71;0.05546875;0.0001019068252693008;-4.511988133041692e-05;-1.709679963823874e-06;-2.196134119003545e-07
72;0.05625;0.0001215247199676621;-3.110466423095204e-06;-2.564464769723903e-06;-2.122139145891803e-07
73;0.05703125000000001;0.0001254037561011501;3.926609163803126e-05;-3.562376756841938e-06;-1.644816620682832e-07
74;0.0578125;0.0001129624770328519;7.650599824652697e-05;-4.659858253338219e-06;-8.982109041729321e-08
75;0.05859375;8.575431972227913e-05;0.000103751449084181;-5.784139223881842e-06;-1.301881032607829e-08
76;0.059375;4.732018078357214e-05;0.0001174721382994903;-6.813763169096394e-06;3.269390920953204e-08
77;0.06015625;2.678518891722585e-06;0.0001159165164305402;-7.540639823370536e-06;5.273250280879438e-09
78;0.06093750000000001;-4.233877674172012e-05;9.927727781663027e-05;-7.64692883118793e-06;-1.409825927112252e-07
79;0.06171875;-8.184520690216839e-05;6.969323415736046e-05;-6.736858116103879e-06;-4.409918498519498e-07
80;0.0625;-0.0001106899696120915;3.102110107041275e-05;-4.425684437592281e-06;-9.119365434647383e-07
81;0.06328125;-0.0001251311511320334;-1.169539230735002e-05;-4.621013734625497e-07;-1.561149474582635e-06
82;0.06406250000000001;-0.0001233094950900219;-5.29115206215162e-05;5.13486702402588e-06;-2.393831133910377e-06
