x_phys_m;p_peak_Pa
0;-2.4875;2.578024221596325e-05
1;-2.4625;2.361972360631626e-05
2;-2.4375;3.105468052429703e-05
3;-2.4125;4.959844833744387e-05
4;-2.3875;6.16107120852878e-05
5;-2.3625;6.958989494402586e-05
6;-2.3375;7.159950064306027e-05
7;-2.3125;6.652372000341225e-05
8;-2.2875;5.642152867343024e-05
9;-2.2625;4.227557265797558e-05
10;-2.2375;4.241220941973246e-05
11;-2.2125;4.178421397682543e-05
12;-2.1875;4.159958393756823e-05
13;-2.1625;5.243810687716183e-05
14;-2.1375;6.446623384211603e-05
15;-2.1125;7.182146691775418e-05
16;-2.0875;7.271384705139396e-05
17;-2.0625;6.480459433078065e-05
18;-2.0375;5.491000774782167e-05
19;-2.0125;4.672738850786111e-05
20;-1.9875;4.729293664240687e-05
21;-1.9625;4.760216124092646e-05
22;-1.9375;4.697673212679851e-05
23;-1.9125;5.717506201108325e-05
24;-1.8875;6.902617485593508e-05
25;-1.8625;7.691718178648438e-05
26;-1.8375;7.673376543001109e-05
27;-1.8125;6.711494400709242e-05
28;-1.7875;5.45550952513926e-05
29;-1.7625;5.380848320631529e-05
30;-1.7375;5.404474707878156e-05
31;-1.7125;5.492549886791193e-05
32;-1.6875;5.581167962039521e-05
33;-1.6625;6.58572360710725e-05
34;-1.6375;7.592396260254945e-05
35;-1.6125;7.910820363576929e-05
36;-1.5875;7.621783284624438e-05
37;-1.5625;6.712059553137806e-05
38;-1.5375;6.365775743688577e-05
39;-1.5125;6.202784932914555e-05
40;-1.4875;6.35338720940126e-05
41;-1.4625;6.463301701842281e-05
42;-1.4375;6.600794612647103e-05
43;-1.4125;7.182984215129781e-05
44;-1.3875;7.855525124493096e-05
45;-1.3625;7.709960406524866e-05
46;-1.3375;7.51120817312767e-05
47;-1.3125;7.664376948923746e-05
48;-1.2875;7.80729328653252e-05
49;-1.2625;7.766762371375077e-05
50;-1.2375;7.609027723750236e-05
51;-1.2125;7.561908315286323e-05
52;-1.1875;8.000662425426222e-05
53;-1.1625;9.101132722359283e-05
54;-1.1375;9.308256638481303e-05
55;-1.1125;8.638764203775887e-05
56;-1.0875;8.411448754941373e-05
57;-1.0625;8.751959095813311e-05
58;-1.0375;9.077707909455056e-05
59;-1.0125;9.798426837429948e-05
60;-0.9875;0.0001010653536468453
61;-0.9624999999999999;0.0001009621739740396
62;-0.9375;0.0001078303610408208
63;-0.9125000000000001;0.0001173649822400572
64;-0.8875;0.0001140837155541401
65;-0.8624999999999998;0.0001092689930146662
66;-0.8374999999999999;0.0001155186925340483
67;-0.8125;0.0001244104046994228
68;-0.7874999999999999;0.0001280963149383751
69;-0.7625000000000002;0.0001288512261605015
70;-0.7375;0.0001263683645144435
71;-0.7125000000000001;0.0001340947708285966
72;-0.6875;0.0001519799931581171
73;-0.6625000000000001;0.0001669194325207475
74;-0.6375;0.0001699690929702531
75;-0.6125;0.0001774519496393622
76;-0.5874999999999999;0.0001798709860925859
77;-0.5625;0.0001747850155121947
78;-0.5374999999999999;0.0001734377056360851
79;-0.5125;0.000167398386831034
80;-0.4874999999999998;0.000180189104867168
81;-0.4625000000000004;0.0002406238365892923
82;-0.4375;0.0002755768670491914
83;-0.4125000000000001;0.0002788251465138573
84;-0.3875000000000002;0.0002811391074146741
85;-0.3624999999999998;0.0002927639605635099
86;-0.3374999999999999;0.0003150340527705946
87;-0.3125;0.0003334846452768641
88;-0.2875000000000001;0.0003381121635281189
89;-0.2625000000000002;0.0003355754388394415
90;-0.2374999999999998;0.0003943446427759538
91;-0.2124999999999999;0.0005181111339046164
92;-0.1875;0.0006048609988435291
93;-0.1624999999999996;0.0006885584050451149
94;-0.1375000000000002;0.0009784986697998889
95;-0.1125000000000003;0.001633791114196952
96;-0.08749999999999991;0.001999890419938311
97;-0.0625;0.001999890419938311
98;-0.03750000000000009;0.001999890419938311
99;-0.01250000000000018;0.001999890419938311
100;0.01249999999999973;0.001999890419938311
101;0.03749999999999964;0.001999890419938311
102;0.0625;0.001713200257048211
103;0.08749999999999991;0.001171681605531687
104;0.1124999999999998;0.0008775717612934397
105;0.1374999999999997;0.0007942360433996028
106;0.1624999999999996;0.000731816926910751
107;0.1875;0.0006704739792742966
108;0.2124999999999999;0.0005348593423377698
109;0.2374999999999998;0.0003748633656262746
110;0.2625000000000002;0.0003440448605639781
111;0.2875000000000001;0.0003456167953572731
112;0.3125;0.0003213340518565628
113;0.3374999999999999;0.0002950324117136919
114;0.3624999999999998;0.0002722778472919652
115;0.3875000000000002;0.0002683054747573504
116;0.4125000000000001;0.0002721783622898027
117;0.4375;0.0002634826853030366
118;0.4625000000000004;0.000236295050247766
119;0.4875000000000003;0.0001929619906301619
120;0.5125000000000002;0.0001812038091960251
121;0.5375000000000001;0.0001765343770709175
122;0.5625;0.0001636114202483443
123;0.5875000000000004;0.000165856198009351
124;0.6125000000000003;0.0001731847122907007
125;0.6374999999999997;0.0001700947287872623
126;0.6624999999999996;0.0001684264948759549
127;0.6875;0.000148214803099715
128;0.7124999999999999;0.0001305899855879035
129;0.7374999999999998;0.0001315986205175551
130;0.7624999999999997;0.0001348361754101766
131;0.7874999999999996;0.0001263981257958828
132;0.8125;0.0001210253616363845
133;0.8374999999999999;0.0001150256759577436
134;0.8624999999999998;0.0001124216449094699
135;0.8875000000000002;0.0001137922234496121
136;0.9125000000000001;0.0001122448123093516
137;0.9375;0.0001047242490888797
138;0.9624999999999999;0.0001028463380710794
139;0.9874999999999998;0.0001079318746330196
140;1.0125;0.0001034541484917401
141;1.0375;8.939106116182904e-05
142;1.0625;8.279634134093314e-05
143;1.0875;8.238207620555236e-05
144;1.1125;8.659918334312047e-05
145;1.1375;9.538821461774209e-05
146;1.1625;9.161727662861587e-05
147;1.1875;7.865367513204564e-05
148;1.2125;7.527273347326018e-05
149;1.2375;7.677406457181254e-05
150;1.2625;7.682484522320017e-05
151;1.2875;7.840845910322958e-05
152;1.3125;7.986021819306191e-05
153;1.3375;7.996160358440335e-05
154;1.3625;7.940388907930665e-05
155;1.3875;7.729594017291677e-05
156;1.4125;6.824087396732197e-05
157;1.4375;6.43558518049758e-05
158;1.4625;6.547974696028785e-05
159;1.4875;6.598671283578969e-05
160;1.5125;6.409775877121621e-05
161;1.5375;6.403572198602582e-05
162;1.5625;6.92828355492263e-05
163;1.5875;7.774996466499355e-05
164;1.6125;7.933195225480946e-05
165;1.6375;7.530195174846697e-05
166;1.6625;6.391464781548521e-05
167;1.6875;5.745840239039042e-05
168;1.7125;5.70079970808971e-05
169;1.7375;5.372798322393164e-05
170;1.7625;5.262527675616484e-05
171;1.787500000000001;5.568986428746375e-05
172;1.8125;7.048127986308834e-05
173;1.8375;8.028144619250594e-05
174;1.862500000000001;7.909925678480544e-05
175;1.887499999999999;6.864888049070374e-05
176;1.9125;5.498132846545007e-05
177;1.9375;4.683670905099761e-05
178;1.962499999999999;4.755920883781078e-05
179;1.9875;4.748661634342469e-05
180;2.0125;4.706672071582337e-05
181;2.0375;5.808437163068422e-05
182;2.0625;6.893460188924416e-05
183;2.0875;7.475590905414732e-05
184;2.1125;7.223664480685967e-05
185;2.1375;6.355042383650785e-05
186;2.1625;5.052936516373598e-05
187;2.1875;4.17187250908076e-05
188;2.2125;4.228835037641448e-05
189;2.2375;4.249403699911149e-05
190;2.2625;4.24609106251714e-05
191;2.2875;5.921456814424625e-05
192;2.3125;6.933268082320851e-05
193;2.3375;7.426025050942062e-05
194;2.3625;7.132009394202548e-05
195;2.3875;6.175518891874779e-05
196;2.412500000000001;4.870930183642471e-05
197;2.4375;2.923541183008666e-05
198;2.4625;2.351258293250187e-05
199;2.487500000000001;2.572711218817865e-05
