x_phys_m;y_phys_m;z_phys_m;p_rms_Pa
0;-2.4875;-2.4875;0;5.739387899722461e-06
1;-2.4625;-2.4625;0;4.908023683978358e-06
2;-2.4375;-2.4375;0;4.693079526687791e-06
3;-2.4125;-2.4125;0;4.793724288051636e-06
4;-2.3875;-2.3875;0;5.046736270523856e-06
5;-2.3625;-2.3625;0;5.407409565132805e-06
6;-2.3375;-2.3375;0;5.793836250898831e-06
7;-2.3125;-2.3125;0;6.992128759463078e-06
8;-2.2875;-2.2875;0;8.458936226352775e-06
9;-2.2625;-2.2625;0;9.775533430347757e-06
10;-2.2375;-2.2375;0;1.076033483938503e-05
11;-2.2125;-2.2125;0;1.122501346525325e-05
12;-2.1875;-2.1875;0;1.092839439539899e-05
13;-2.1625;-2.1625;0;1.001515762638312e-05
14;-2.1375;-2.1375;0;8.862365916557545e-06
15;-2.1125;-2.1125;0;7.917156819733388e-06
16;-2.0875;-2.0875;0;7.658446960531402e-06
17;-2.0625;-2.0625;0;8.269361259510921e-06
18;-2.0375;-2.0375;0;9.468191785452336e-06
19;-2.0125;-2.0125;0;1.104241212001957e-05
20;-1.9875;-1.9875;0;1.249144021396602e-05
21;-1.9625;-1.9625;0;1.359036322230424e-05
22;-1.9375;-1.9375;0;1.42591437954586e-05
23;-1.9125;-1.9125;0;1.447514756466103e-05
24;-1.8875;-1.8875;0;1.393593898353935e-05
25;-1.8625;-1.8625;0;1.299997807442976e-05
26;-1.8375;-1.8375;0;1.229564326513243e-05
27;-1.8125;-1.8125;0;1.208359825992249e-05
28;-1.7875;-1.7875;0;1.270389445977434e-05
29;-1.7625;-1.7625;0;1.407240316297446e-05
30;-1.7375;-1.7375;0;1.532698274346774e-05
31;-1.7125;-1.7125;0;1.652809833387638e-05
32;-1.6875;-1.6875;0;1.747674429924086e-05
33;-1.6625;-1.6625;0;1.768123084861108e-05
34;-1.6375;-1.6375;0;1.745131461429535e-05
35;-1.6125;-1.6125;0;1.765012162127173e-05
36;-1.5875;-1.5875;0;1.758026407473473e-05
37;-1.5625;-1.5625;0;1.716393949389287e-05
38;-1.5375;-1.5375;0;1.757524176985021e-05
39;-1.5125;-1.5125;0;1.842809902652136e-05
40;-1.4875;-1.4875;0;1.896726162217578e-05
41;-1.4625;-1.4625;0;2.02341681535049e-05
42;-1.4375;-1.4375;0;2.13546807308239e-05
43;-1.4125;-1.4125;0;2.215058553023123e-05
44;-1.3875;-1.3875;0;2.316629383919052e-05
45;-1.3625;-1.3625;0;2.363897696315944e-05
46;-1.3375;-1.3375;0;2.328896827647289e-05
47;-1.3125;-1.3125;0;2.407508149827267e-05
48;-1.2875;-1.2875;0;2.493560065527084e-05
49;-1.2625;-1.2625;0;2.481412095318481e-05
50;-1.2375;-1.2375;0;2.564704909930694e-05
51;-1.2125;-1.2125;0;2.798487107339295e-05
52;-1.1875;-1.1875;0;2.879766471062516e-05
53;-1.1625;-1.1625;0;2.93056802778115e-05
54;-1.1375;-1.1375;0;3.012937281820586e-05
55;-1.1125;-1.1125;0;3.069364149642489e-05
56;-1.0875;-1.0875;0;3.158400988067255e-05
57;-1.0625;-1.0625;0;3.348503322513017e-05
58;-1.0375;-1.0375;0;3.417358852443455e-05
59;-1.0125;-1.0125;0;3.484196979031494e-05
60;-0.9875;-0.9875;0;3.650745770187706e-05
61;-0.9624999999999999;-0.9624999999999999;0;3.812656050140327e-05
62;-0.9375;-0.9375;0;3.83561985409468e-05
63;-0.9125000000000001;-0.9125000000000001;0;4.104127199514605e-05
64;-0.8875;-0.8875;0;4.364249685277123e-05
65;-0.8624999999999998;-0.8624999999999998;0;4.370379213233753e-05
66;-0.8374999999999999;-0.8374999999999999;0;4.458949252198591e-05
67;-0.8125;-0.8125;0;4.759838031517307e-05
68;-0.7874999999999999;-0.7874999999999999;0;4.949974647049075e-05
69;-0.7625000000000002;-0.7625000000000002;0;5.053468849618129e-05
70;-0.7375;-0.7375;0;5.216053874713676e-05
71;-0.7125000000000001;-0.7125000000000001;0;5.592932673546035e-05
72;-0.6875;-0.6875;0;5.987898752508603e-05
73;-0.6625000000000001;-0.6625000000000001;0;6.365125541524743e-05
74;-0.6375;-0.6375;0;6.364767085413968e-05
75;-0.6125;-0.6125;0;6.531601148729836e-05
76;-0.5874999999999999;-0.5874999999999999;0;7.247783839442689e-05
77;-0.5625;-0.5625;0;7.405089271243979e-05
78;-0.5374999999999999;-0.5374999999999999;0;7.29915414975107e-05
79;-0.5125;-0.5125;0;8.157945274791818e-05
80;-0.4874999999999998;-0.4874999999999998;0;9.020744403550715e-05
81;-0.4625000000000004;-0.4625000000000004;0;9.210308959685935e-05
82;-0.4375;-0.4375;0;0.0001000253330606052
83;-0.4125000000000001;-0.4125000000000001;0;0.0001138745772602475
84;-0.3875000000000002;-0.3875000000000002;0;0.0001097720797660181
85;-0.3624999999999998;-0.3624999999999998;0;0.0001208698159308845
86;-0.3374999999999999;-0.3374999999999999;0;0.0001432091635393957
87;-0.3125;-0.3125;0;0.0001323788373720117
88;-0.2875000000000001;-0.2875000000000001;0;0.0001496402088804006
89;-0.2625000000000002;-0.2625000000000002;0;0.0001777599249339355
90;-0.2374999999999998;-0.2374999999999998;0;0.0001669328308025978
91;-0.2124999999999999;-0.2124999999999999;0;0.0002193510537776638
92;-0.1875;-0.1875;0;0.0002706419014995695
93;-0.1624999999999996;-0.1624999999999996;0;0.0002991276151589439
94;-0.1375000000000002;-0.1375000000000002;0;0.0003577344785336625
95;-0.1125000000000003;-0.1125000000000003;0;0.0004000824932748379
96;-0.08749999999999991;-0.08749999999999991;0;0.0005070947903009843
97;-0.0625;-0.0625;0;0.001006009258214154
98;-0.03750000000000009;-0.03750000000000009;0;0.001363501613250102
99;-0.01250000000000018;-0.01250000000000018;0;0.001363501613242409
100;0.01249999999999973;0.01249999999999973;0;0.001363501613248092
101;0.03749999999999964;0.03749999999999964;0;0.001363501613254238
102;0.0625;0.0625;0;0.0009942491717538976
103;0.08749999999999991;0.08749999999999991;0;0.0006145374723532566
104;0.1124999999999998;0.1124999999999998;0;0.0004862585642990415
105;0.1374999999999997;0.1374999999999997;0;0.0003172937901114517
106;0.1624999999999996;0.1624999999999996;0;0.0002681072506569354
107;0.1875;0.1875;0;0.0002550430700186276
108;0.2124999999999999;0.2124999999999999;0;0.0002130206437053826
109;0.2374999999999998;0.2374999999999998;0;0.0001928712794992346
110;0.2625000000000002;0.2625000000000002;0;0.0001757264043456874
111;0.2875000000000001;0.2875000000000001;0;0.0001518245441006395
112;0.3125;0.3125;0;0.0001458350695550882
113;0.3374999999999999;0.3374999999999999;0;0.0001518588670751367
114;0.3624999999999998;0.3624999999999998;0;0.0001232646132405449
115;0.3875000000000002;0.3875000000000002;0;0.0001155996448625065
116;0.4125000000000001;0.4125000000000001;0;0.0001180386521919049
117;0.4375;0.4375;0;9.946596675672875e-05
118;0.4625000000000004;0.4625000000000004;0;9.450146277127134e-05
119;0.4875000000000003;0.4875000000000003;0;8.991380853797161e-05
120;0.5125000000000002;0.5125000000000002;0;7.816750350023043e-05
121;0.5375000000000001;0.5375000000000001;0;7.764090533592588e-05
122;0.5625;0.5625;0;7.873520138831339e-05
123;0.5875000000000004;0.5875000000000004;0;7.340401280682846e-05
124;0.6125000000000003;0.6125000000000003;0;6.695187711847532e-05
125;0.6374999999999997;0.6374999999999997;0;6.684725737273163e-05
126;0.6624999999999996;0.6624999999999996;0;6.415268087771596e-05
127;0.6875;0.6875;0;5.932827004322825e-05
128;0.7124999999999999;0.7124999999999999;0;5.790223973687956e-05
129;0.7374999999999998;0.7374999999999998;0;5.294793046155932e-05
130;0.7624999999999997;0.7624999999999997;0;4.931032453029053e-05
131;0.7874999999999996;0.7874999999999996;0;4.992271137765955e-05
132;0.8125;0.8125;0;4.886762333029795e-05
133;0.8374999999999999;0.8374999999999999;0;4.638223118051426e-05
134;0.8624999999999998;0.8624999999999998;0;4.467556471386514e-05
135;0.8875000000000002;0.8875000000000002;0;4.288794515900384e-05
136;0.9125000000000001;0.9125000000000001;0;4.062223813379119e-05
137;0.9375;0.9375;0;3.963685469783045e-05
138;0.9624999999999999;0.9624999999999999;0;3.868264294933369e-05
139;0.9874999999999998;0.9874999999999998;0;3.598906300476881e-05
140;1.0125;1.0125;0;3.489852022090917e-05
141;1.0375;1.0375;0;3.479809306022608e-05
142;1.0625;1.0625;0;3.326235510672475e-05
143;1.0875;1.0875;0;3.187451468146154e-05
144;1.1125;1.1125;0;3.127594807024328e-05
145;1.1375;1.1375;0;3.030646459994391e-05
146;1.1625;1.1625;0;2.920466439286665e-05
147;1.1875;1.1875;0;2.889790286544821e-05
148;1.2125;1.2125;0;2.790198498345843e-05
149;1.2375;1.2375;0;2.593266849990264e-05
150;1.2625;1.2625;0;2.507523717404416e-05
151;1.2875;1.2875;0;2.478619952540639e-05
152;1.3125;1.3125;0;2.399759156731906e-05
153;1.3375;1.3375;0;2.394731416019134e-05
154;1.3625;1.3625;0;2.387248352519468e-05
155;1.3875;1.3875;0;2.306880705951474e-05
156;1.4125;1.4125;0;2.227167176678209e-05
157;1.4375;1.4375;0;2.15024300881128e-05
158;1.4625;1.4625;0;2.008281013368953e-05
159;1.4875;1.4875;0;1.897329781261757e-05
160;1.5125;1.5125;0;1.849192182217191e-05
161;1.5375;1.5375;0;1.777750762670087e-05
162;1.5625;1.5625;0;1.738742164178865e-05
163;1.5875;1.5875;0;1.767702170844674e-05
164;1.6125;1.6125;0;1.771702991200277e-05
165;1.6375;1.6375;0;1.783690973029892e-05
166;1.6625;1.6625;0;1.798444238834372e-05
167;1.6875;1.6875;0;1.759032574307724e-05
168;1.7125;1.7125;0;1.662142382438304e-05
169;1.7375;1.7375;0;1.535121240411983e-05
170;1.7625;1.7625;0;1.394137632010476e-05
171;1.787500000000001;1.787500000000001;0;1.264659794137812e-05
172;1.8125;1.8125;0;1.219127804041358e-05
173;1.8375;1.8375;0;1.256882494944558e-05
174;1.862500000000001;1.862500000000001;0;1.323159024594565e-05
175;1.887499999999999;1.887499999999999;0;1.407740611230159e-05
176;1.9125;1.9125;0;1.458186556895835e-05
177;1.9375;1.9375;0;1.437597631893817e-05
178;1.962499999999999;1.962499999999999;0;1.360399074190681e-05
179;1.9875;1.9875;0;1.243356161588491e-05
180;2.0125;2.0125;0;1.097263060033322e-05
181;2.0375;2.0375;0;9.414795653437404e-06
182;2.0625;2.0625;0;8.223912764121087e-06
183;2.0875;2.0875;0;7.674075920312032e-06
184;2.1125;2.1125;0;8.034309223761151e-06
185;2.1375;2.1375;0;9.108034718305562e-06
186;2.1625;2.1625;0;1.026740905301656e-05
187;2.1875;2.1875;0;1.114077422530881e-05
188;2.2125;2.2125;0;1.141868221238928e-05
189;2.2375;2.2375;0;1.091012010420982e-05
190;2.2625;2.2625;0;9.795698351763574e-06
191;2.2875;2.2875;0;8.421747925566887e-06
192;2.3125;2.3125;0;6.988089043467573e-06
193;2.3375;2.3375;0;5.81415195093119e-06
194;2.3625;2.3625;0;5.361697235430772e-06
195;2.3875;2.3875;0;4.866471431315537e-06
196;2.412500000000001;2.412500000000001;0;4.553893922981452e-06
197;2.4375;2.4375;0;4.59000410367292e-06
198;2.4625;2.4625;0;5.038885772897698e-06
199;2.487500000000001;2.487500000000001;0;5.889374150788093e-06
