x_phys_m;y_phys_m;z_phys_m;p_peak_Pa
0;-4.975;-4.975;0;2.979738906105913e-05
1;-4.925;-4.925;0;2.551672938958897e-05
2;-4.875;-4.875;0;2.287880162536265e-05
3;-4.825;-4.825;0;2.755368996076868e-05
4;-4.775;-4.775;0;3.020383420941168e-05
5;-4.725;-4.725;0;3.02623699705388e-05
6;-4.675;-4.675;0;2.775380448838405e-05
7;-4.625;-4.625;0;3.452114841214404e-05
8;-4.575;-4.575;0;3.98372653762635e-05
9;-4.525;-4.525;0;4.434229526850678e-05
10;-4.475;-4.475;0;4.702110830597424e-05
11;-4.425;-4.425;0;4.673608778678803e-05
12;-4.375;-4.375;0;4.392710328223376e-05
13;-4.325;-4.325;0;4.074063046270263e-05
14;-4.275;-4.275;0;3.487961331908692e-05
15;-4.225;-4.225;0;3.34392770279616e-05
16;-4.175;-4.175;0;3.375187479074761e-05
17;-4.125;-4.125;0;3.381577823802218e-05
18;-4.075;-4.075;0;3.61036369061669e-05
19;-4.025;-4.025;0;4.563202818038294e-05
20;-3.975;-3.975;0;5.156720127767282e-05
21;-3.925;-3.925;0;5.440065524453531e-05
22;-3.875;-3.875;0;5.740441372381611e-05
23;-3.825;-3.825;0;5.507371198139786e-05
24;-3.775;-3.775;0;4.65487369183393e-05
25;-3.725;-3.725;0;3.822291379644107e-05
26;-3.675;-3.675;0;3.872030644439899e-05
27;-3.625;-3.625;0;3.829918045994418e-05
28;-3.575;-3.575;0;3.792389626748142e-05
29;-3.525;-3.525;0;4.280779777824723e-05
30;-3.475;-3.475;0;5.372160709763798e-05
31;-3.425;-3.425;0;5.944012961360085e-05
32;-3.375;-3.375;0;6.146327306547998e-05
33;-3.325;-3.325;0;6.099615097809875e-05
34;-3.275;-3.275;0;5.363386708268092e-05
35;-3.225;-3.225;0;4.812368191172328e-05
36;-3.175;-3.175;0;4.786781437360328e-05
37;-3.125;-3.125;0;4.209303593446141e-05
38;-3.075;-3.075;0;4.439159943103723e-05
39;-3.025;-3.025;0;4.907873267256946e-05
40;-2.975;-2.975;0;4.528080751242664e-05
41;-2.925;-2.925;0;4.954118818053147e-05
42;-2.875;-2.875;0;6.117354291745869e-05
43;-2.825;-2.825;0;6.406469378816837e-05
44;-2.775;-2.775;0;6.126739685896609e-05
45;-2.725;-2.725;0;5.752263329365333e-05
46;-2.675;-2.675;0;5.176427475817037e-05
47;-2.625;-2.625;0;5.529336874587893e-05
48;-2.575;-2.575;0;5.82174227095797e-05
49;-2.525;-2.525;0;5.199459231638082e-05
50;-2.475;-2.475;0;5.178489675472517e-05
51;-2.425;-2.425;0;6.514925750404174e-05
52;-2.375;-2.375;0;6.549509854873277e-05
53;-2.325;-2.325;0;6.464856941571878e-05
54;-2.275;-2.275;0;6.586057979044806e-05
55;-2.225;-2.225;0;6.737293529113232e-05
56;-2.175;-2.175;0;6.569151059920844e-05
57;-2.125;-2.125;0;6.846964845408363e-05
58;-2.075;-2.075;0;6.770055578423735e-05
59;-2.025;-2.025;0;6.735936487226955e-05
60;-1.975;-1.975;0;7.091709983342297e-05
61;-1.925;-1.925;0;7.504346300872082e-05
62;-1.875;-1.875;0;7.373871820467078e-05
63;-1.825;-1.825;0;8.240366901191003e-05
64;-1.775;-1.775;0;8.650401321119718e-05
65;-1.725;-1.725;0;7.989205748041663e-05
66;-1.675;-1.675;0;7.940806983697257e-05
67;-1.625;-1.625;0;8.76970746048755e-05
68;-1.575;-1.575;0;9.1807016057525e-05
69;-1.525;-1.525;0;8.908371019818637e-05
70;-1.475;-1.475;0;8.924252862622475e-05
71;-1.425;-1.425;0;0.0001050511577886936
72;-1.375;-1.375;0;0.0001114889555159001
73;-1.325;-1.325;0;0.0001135845474588374
74;-1.275;-1.275;0;0.0001102673072637117
75;-1.225;-1.225;0;0.0001158230799849963
76;-1.175;-1.175;0;0.000127285466533067
77;-1.125;-1.125;0;0.0001272055415408129
78;-1.075;-1.075;0;0.0001180502593266889
79;-1.025;-1.025;0;0.0001333276474421533
80;-0.9749999999999996;-0.9749999999999996;0;0.0001490609682832655
81;-0.9250000000000007;-0.9250000000000007;0;0.0001541337840838724
82;-0.875;-0.875;0;0.0001671053983424521
83;-0.8250000000000002;-0.8250000000000002;0;0.0001980954436930911
84;-0.7750000000000004;-0.7750000000000004;0;0.0001793708842872853
85;-0.7249999999999996;-0.7249999999999996;0;0.0001913289379823863
86;-0.6749999999999998;-0.6749999999999998;0;0.0002342788609439594
87;-0.625;-0.625;0;0.0002070681050554411
88;-0.5750000000000002;-0.5750000000000002;0;0.0002276281717286103
89;-0.5250000000000004;-0.5250000000000004;0;0.0002778388680629481
90;-0.4749999999999996;-0.4749999999999996;0;0.0002461494691488041
91;-0.4249999999999998;-0.4249999999999998;0;0.0003361069046453249
92;-0.375;-0.375;0;0.0004218567916799049
93;-0.3249999999999993;-0.3249999999999993;0;0.0004681838806088008
94;-0.2750000000000004;-0.2750000000000004;0;0.0005431989103499275
95;-0.2250000000000005;-0.2250000000000005;0;0.0006013144598000509
96;-0.1749999999999998;-0.1749999999999998;0;0.0007503066139330809
97;-0.125;-0.125;0;0.001485538342421919
98;-0.07500000000000018;-0.07500000000000018;0;0.001999890419673041
99;-0.02500000000000036;-0.02500000000000036;0;0.001999890419976206
100;0.02499999999999947;0.02499999999999947;0;0.001999890420089893
101;0.07499999999999929;0.07499999999999929;0;0.001999890419786728
102;0.125;0.125;0;0.001471855628551576
103;0.1749999999999998;0.1749999999999998;0;0.0009404912834346181
104;0.2249999999999996;0.2249999999999996;0;0.0007518992812644419
105;0.2749999999999995;0.2749999999999995;0;0.000474555130987636
106;0.3249999999999993;0.3249999999999993;0;0.0004057239328858494
107;0.375;0.375;0;0.0003950948484240755
108;0.4249999999999998;0.4249999999999998;0;0.0003304268700124649
109;0.4749999999999996;0.4749999999999996;0;0.0003040798320625978
110;0.5250000000000004;0.5250000000000004;0;0.0002765630308658725
111;0.5750000000000002;0.5750000000000002;0;0.0002365616308376653
112;0.625;0.625;0;0.0002371302520411212
113;0.6749999999999998;0.6749999999999998;0;0.0002600444944770667
114;0.7249999999999996;0.7249999999999996;0;0.0002004182857717761
115;0.7750000000000004;0.7750000000000004;0;0.0001980346590547321
116;0.8250000000000002;0.8250000000000002;0;0.0002083563728471448
117;0.875;0.875;0;0.0001692781641319624
118;0.9250000000000007;0.9250000000000007;0;0.0001648239552878294
119;0.9750000000000005;0.9750000000000005;0;0.000148698699452628
120;1.025;1.025;0;0.0001226452062231449
121;1.075;1.075;0;0.0001382717810732479
122;1.125;1.125;0;0.0001470654232586338
123;1.175000000000001;1.175000000000001;0;0.0001334879519466388
124;1.225000000000001;1.225000000000001;0;0.0001212321358252665
125;1.274999999999999;1.274999999999999;0;0.0001211814376347316
126;1.324999999999999;1.324999999999999;0;0.0001210335462171019
127;1.375;1.375;0;0.0001129166244027146
128;1.425;1.425;0;0.0001095583919550338
129;1.475;1.475;0;9.412439567313427e-05
130;1.524999999999999;1.524999999999999;0;8.747234835482219e-05
131;1.574999999999999;1.574999999999999;0;9.519300317606384e-05
132;1.625;1.625;0;9.387137811245351e-05
133;1.675;1.675;0;9.019500422861409e-05
134;1.725;1.725;0;8.809731195924555e-05
135;1.775;1.775;0;8.341224918240188e-05
136;1.825;1.825;0;8.039560369373559e-05
137;1.875;1.875;0;8.048027348195319e-05
138;1.925;1.925;0;7.96672943579325e-05
139;1.975;1.975;0;6.9909275301446e-05
140;2.025;2.025;0;6.730347323961421e-05
141;2.075;2.075;0;7.183503968614485e-05
