x_phys_m;p_peak_Pa
0;-4.975;3.085828211624173e-05
1;-4.925;2.863964133818324e-05
2;-4.875;3.298309259965529e-05
3;-4.825;5.766040112575874e-05
4;-4.775;7.09179218271553e-05
5;-4.725;7.598535133486928e-05
6;-4.675;7.913491481303935e-05
7;-4.625;8.224863843982652e-05
8;-4.575;7.13496165190011e-05
9;-4.525;4.899145763677839e-05
10;-4.475;5.368617015240786e-05
11;-4.425;4.90485055403648e-05
12;-4.375;4.709461760891523e-05
13;-4.325;5.964624021241137e-05
14;-4.275;7.38894226136228e-05
15;-4.225;8.505564316389311e-05
16;-4.175;8.407690014185682e-05
17;-4.125;6.648300162244891e-05
18;-4.075;5.386476793016011e-05
19;-4.025;5.234153256121003e-05
20;-3.975;5.754843550676014e-05
21;-3.925;6.258790760208893e-05
22;-3.875;5.581397393446729e-05
23;-3.825;6.395997312817283e-05
24;-3.775;8.040001451566542e-05
25;-3.725;9.145341937255573e-05
26;-3.675;8.65417180951528e-05
27;-3.625;6.418063154948557e-05
28;-3.575;5.091304501547703e-05
29;-3.525;6.123995080997687e-05
30;-3.475;6.392395986646685e-05
31;-3.425;6.653844169098499e-05
32;-3.375;6.484173824598355e-05
33;-3.325;7.189906424779708e-05
34;-3.275;8.683941981265266e-05
35;-3.225;0.0001017712355254237
36;-3.175;9.064338761769829e-05
37;-3.125;6.274490412276154e-05
38;-3.075;6.626647367132442e-05
39;-3.025;6.669896932483727e-05
40;-2.975;6.850398403912553e-05
41;-2.925;7.527366278736732e-05
42;-2.875;7.77099220006979e-05
43;-2.825;9.106568783560446e-05
44;-2.775;9.239903344375007e-05
45;-2.725;7.744980909289257e-05
46;-2.675;6.715200743201423e-05
47;-2.625;7.587225839718778e-05
48;-2.575;8.587703147592648e-05
49;-2.525;8.587872086233497e-05
50;-2.475;7.999479218293953e-05
51;-2.425;7.170754997787296e-05
52;-2.375;8.192415771191004e-05
53;-2.325;0.0001149500221799828
54;-2.275;0.0001206869706038561
55;-2.225;8.827820935645517e-05
56;-2.175;7.491019565956469e-05
57;-2.125;8.13139425493621e-05
58;-2.075;8.737868120078917e-05
59;-2.025;0.0001061606541649474
60;-1.975;0.0001120612738911101
61;-1.925;0.0001084370258771136
