x_phys_m;y_phys_m;z_phys_m;p_rms_Pa
0;-4.975;-4.975;0;7.418392002258027e-06
1;-4.925;-4.925;0;6.621296529588624e-06
2;-4.875;-4.875;0;6.361886009272513e-06
3;-4.825;-4.825;0;6.1725752353339e-06
4;-4.775;-4.775;0;6.398543166287373e-06
5;-4.725;-4.725;0;6.33734306841097e-06
6;-4.675;-4.675;0;6.435297500457091e-06
7;-4.625;-4.625;0;8.420774445267539e-06
8;-4.575;-4.575;0;9.936644507786773e-06
9;-4.525;-4.525;0;1.166542299958056e-05
10;-4.475;-4.475;0;1.297355515121595e-05
11;-4.425;-4.425;0;1.332345133506965e-05
12;-4.375;-4.375;0;1.291890565077306e-05
13;-4.325;-4.325;0;1.222312189093276e-05
14;-4.275;-4.275;0;1.027197450813786e-05
15;-4.225;-4.225;0;9.016249596081243e-06
16;-4.175;-4.175;0;9.140160144550797e-06
17;-4.125;-4.125;0;9.834645697572573e-06
18;-4.075;-4.075;0;1.114974239226592e-05
19;-4.025;-4.025;0;1.322324382210507e-05
20;-3.975;-3.975;0;1.478573506404353e-05
21;-3.925;-3.925;0;1.566210168768726e-05
22;-3.875;-3.875;0;1.641483558084191e-05
23;-3.825;-3.825;0;1.753330750668818e-05
24;-3.775;-3.775;0;1.616984020981888e-05
25;-3.725;-3.725;0;1.455722820462524e-05
26;-3.675;-3.675;0;1.40765558196665e-05
27;-3.625;-3.625;0;1.357373288921493e-05
28;-3.575;-3.575;0;1.416155163192832e-05
29;-3.525;-3.525;0;1.63119158998555e-05
30;-3.475;-3.475;0;1.778653950197673e-05
31;-3.425;-3.425;0;1.913882756785982e-05
32;-3.375;-3.375;0;2.012543419148037e-05
33;-3.325;-3.325;0;2.044303166655947e-05
34;-3.275;-3.275;0;1.920229485035681e-05
35;-3.225;-3.225;0;2.021690639891588e-05
36;-3.175;-3.175;0;2.049940372718921e-05
37;-3.125;-3.125;0;1.774054331204759e-05
38;-3.075;-3.075;0;1.864883972547201e-05
39;-3.025;-3.025;0;2.112170009609155e-05
40;-2.975;-2.975;0;2.020564924056441e-05
41;-2.925;-2.925;0;2.300549073286557e-05
42;-2.875;-2.875;0;2.466462199306135e-05
43;-2.825;-2.825;0;2.435757813572248e-05
44;-2.775;-2.775;0;2.557434204426194e-05
45;-2.725;-2.725;0;2.661554186765031e-05
46;-2.675;-2.675;0;2.468586810391086e-05
47;-2.625;-2.625;0;2.668935023102016e-05
48;-2.575;-2.575;0;2.82357591216848e-05
49;-2.525;-2.525;0;2.530307283298147e-05
50;-2.475;-2.475;0;2.596453668097617e-05
51;-2.425;-2.425;0;3.25858338864421e-05
52;-2.375;-2.375;0;3.238536986243375e-05
53;-2.325;-2.325;0;3.212909654532308e-05
54;-2.275;-2.275;0;3.313671327390728e-05
55;-2.225;-2.225;0;3.412995198941911e-05
56;-2.175;-2.175;0;3.39803906005031e-05
57;-2.125;-2.125;0;3.590242125324908e-05
58;-2.075;-2.075;0;3.565934680925801e-05
59;-2.025;-2.025;0;3.665282131703638e-05
60;-1.975;-1.975;0;3.899731509452848e-05
61;-1.925;-1.925;0;4.066880310588566e-05
62;-1.875;-1.875;0;3.927425287725539e-05
63;-1.825;-1.825;0;4.560165085367704e-05
64;-1.775;-1.775;0;4.846265854423441e-05
65;-1.725;-1.725;0;4.487914771963196e-05
66;-1.675;-1.675;0;4.441977032994626e-05
67;-1.625;-1.625;0;4.974970645616841e-05
68;-1.575;-1.575;0;5.290716595155504e-05
69;-1.525;-1.525;0;5.158098885301262e-05
70;-1.475;-1.475;0;5.120927072556302e-05
71;-1.425;-1.425;0;5.792147623968011e-05
72;-1.375;-1.375;0;6.441640855619493e-05
73;-1.325;-1.325;0;6.672354635841453e-05
74;-1.275;-1.275;0;6.479792441155149e-05
75;-1.225;-1.225;0;6.694776236048342e-05
76;-1.175;-1.175;0;7.558527733318155e-05
77;-1.125;-1.125;0;7.55643860207108e-05
78;-1.075;-1.075;0;7.134006453717209e-05
79;-1.025;-1.025;0;7.870507123863714e-05
80;-0.9749999999999996;-0.9749999999999996;0;9.200031097501158e-05
81;-0.9250000000000007;-0.9250000000000007;0;9.450132411820063e-05
82;-0.875;-0.875;0;0.0001034235006453164
83;-0.8250000000000002;-0.8250000000000002;0;0.0001246098628919041
84;-0.7750000000000004;-0.7750000000000004;0;0.0001135523051704131
85;-0.7249999999999996;-0.7249999999999996;0;0.0001157357093754315
86;-0.6749999999999998;-0.6749999999999998;0;0.0001471276985857605
87;-0.625;-0.625;0;0.0001304991141608612
88;-0.5750000000000002;-0.5750000000000002;0;0.0001445490222823801
89;-0.5250000000000004;-0.5250000000000004;0;0.0001784114613045999
90;-0.4749999999999996;-0.4749999999999996;0;0.0001581001144700457
91;-0.4249999999999998;-0.4249999999999998;0;0.0002174665973212429
92;-0.375;-0.375;0;0.000277600495509917
93;-0.3249999999999993;-0.3249999999999993;0;0.0003119914293504672
94;-0.2750000000000004;-0.2750000000000004;0;0.0003626527557767674
95;-0.2250000000000005;-0.2250000000000005;0;0.0003997311112361106
96;-0.1749999999999998;-0.1749999999999998;0;0.0005012540677442971
97;-0.125;-0.125;0;0.001004992149505587
98;-0.07500000000000018;-0.07500000000000018;0;0.001363501613255542
99;-0.02500000000000036;-0.02500000000000036;0;0.001363501613215988
100;0.02499999999999947;0.02499999999999947;0;0.001363501613212735
101;0.07499999999999929;0.07499999999999929;0;0.001363501613243303
102;0.125;0.125;0;0.0009942776568261057
103;0.1749999999999998;0.1749999999999998;0;0.0006339824530502976
104;0.2249999999999996;0.2249999999999996;0;0.0005065938655103637
105;0.2749999999999995;0.2749999999999995;0;0.0003141806369911059
106;0.3249999999999993;0.3249999999999993;0;0.0002706600601914942
107;0.375;0.375;0;0.000259694568540145
108;0.4249999999999998;0.4249999999999998;0;0.0002137878217969836
109;0.4749999999999996;0.4749999999999996;0;0.000197226487335732
110;0.5250000000000004;0.5250000000000004;0;0.0001739219757523919
111;0.5750000000000002;0.5750000000000002;0;0.0001500216111097936
112;0.625;0.625;0;0.0001536107795490221
113;0.6749999999999998;0.6749999999999998;0;0.0001674571891710173
114;0.7249999999999996;0.7249999999999996;0;0.0001270287679662105
115;0.7750000000000004;0.7750000000000004;0;0.0001244280617171903
116;0.8250000000000002;0.8250000000000002;0;0.0001309410238328701
117;0.875;0.875;0;0.0001054311828340173
118;0.9250000000000007;0.9250000000000007;0;0.0001027547637875895
119;0.9750000000000005;0.9750000000000005;0;9.17200494497138e-05
120;1.025;1.025;0;7.317351676200927e-05
121;1.075;1.075;0;8.402757976482647e-05
122;1.125;1.125;0;8.868421947222623e-05
123;1.175000000000001;1.175000000000001;0;8.041401651948984e-05
124;1.225000000000001;1.225000000000001;0;7.106437701606651e-05
125;1.274999999999999;1.274999999999999;0;7.302707692156809e-05
126;1.324999999999999;1.324999999999999;0;7.205153600499564e-05
127;1.375;1.375;0;6.652775320427877e-05
128;1.425;1.425;0;6.41120103172108e-05
129;1.475;1.475;0;5.481550922788962e-05
130;1.524999999999999;1.524999999999999;0;4.976063380454384e-05
131;1.574999999999999;1.574999999999999;0;5.396630116491951e-05
132;1.625;1.625;0;5.383914920017087e-05
133;1.675;1.675;0;5.081751168797689e-05
134;1.725;1.725;0;4.945402071773674e-05
