x_phys_m;p_rms_Pa
0;-4.975;1.179495541479619e-05
1;-4.925;7.784541536122952e-06
2;-4.875;1.204100869931057e-05
3;-4.825;1.977411103984366e-05
4;-4.775;2.478766845644716e-05
5;-4.725;2.731950417517745e-05
6;-4.675;2.910902049348443e-05
7;-4.625;2.981443187781487e-05
8;-4.575;2.55610975235031e-05
9;-4.525;1.924539406777827e-05
10;-4.475;1.645560424170556e-05
11;-4.425;1.540902052169056e-05
12;-4.375;1.853344192657805e-05
13;-4.325;2.265299502412867e-05
14;-4.275;2.715302325186784e-05
15;-4.225;3.20886821842385e-05
16;-4.175;3.088993104922444e-05
17;-4.125;2.463741078543805e-05
18;-4.075;2.192217919615852e-05
19;-4.025;2.190712545448749e-05
20;-3.975;2.299886724520045e-05
21;-3.925;2.494649638169438e-05
22;-3.875;2.431757617729808e-05
23;-3.825;2.541553603608558e-05
24;-3.775;3.051603997952992e-05
25;-3.725;3.518445774815358e-05
26;-3.675;3.304187049368036e-05
27;-3.625;2.574815929289546e-05
28;-3.575;2.498093573419567e-05
29;-3.525;2.812045531669793e-05
30;-3.475;2.889693908116686e-05
31;-3.425;3.144473458897126e-05
32;-3.375;3.236520785155705e-05
33;-3.325;3.122519545958734e-05
34;-3.275;3.528810321533021e-05
35;-3.225;4.074285529569229e-05
36;-3.175;3.682677156182343e-05
37;-3.125;3.124975221516328e-05
38;-3.075;3.278873712789823e-05
39;-3.025;3.306539602862267e-05
40;-2.975;3.521269413359561e-05
41;-2.925;3.834213140195592e-05
42;-2.875;4.106452112127359e-05
43;-2.825;4.683262345418523e-05
44;-2.775;4.632275700848835e-05
45;-2.725;3.757298002133081e-05
46;-2.675;3.336163208860573e-05
47;-2.625;4.073520025795367e-05
48;-2.575;4.732372839261846e-05
49;-2.525;4.752868671963304e-05
50;-2.475;4.477920498109986e-05
51;-2.425;4.041179492573446e-05
52;-2.375;4.440980586664937e-05
53;-2.325;6.595372099318971e-05
54;-2.275;6.945520109454006e-05
55;-2.225;5.020439869256003e-05
56;-2.175;4.212145987507319e-05
57;-2.125;4.613117375898213e-05
58;-2.075;4.782618976141573e-05
59;-2.025;5.86890383911514e-05
60;-1.975;6.583835138479529e-05
61;-1.925;6.479336012765803e-05
62;-1.875;7.289330324279101e-05
63;-1.825;8.604142067715366e-05
64;-1.775;7.881917463014564e-05
65;-1.725;6.150759851657313e-05
66;-1.675;6.327445650374727e-05
67;-1.625;7.062019852561442e-05
68;-1.575;7.709854647751104e-05
69;-1.525;8.186219260610993e-05
70;-1.475;7.762304925124831e-05
71;-1.425;8.648274368884282e-05
72;-1.375;0.0001067746548950742
73;-1.325;0.0001190618416465503
74;-1.275;0.0001170937869737912
75;-1.225;0.0001205047362770042
76;-1.175;0.0001191410889299487
77;-1.125;0.0001037545243690848
78;-1.075;9.978512511744088e-05
79;-1.025;9.467904950536023e-05
80;-0.9749999999999996;0.0001027210478749062
81;-0.9250000000000007;0.0001710982028890447
82;-0.875;0.0002082105544478165
83;-0.8250000000000002;0.0002058192600822955
84;-0.7750000000000004;0.0001988581331033374
85;-0.7249999999999996;0.0001950022216233293
86;-0.6749999999999998;0.00020240481816238
87;-0.625;0.0002154630157942185
88;-0.5750000000000002;0.0002156870493573543
89;-0.5250000000000004;0.0002152766133535984
90;-0.4749999999999996;0.0002625607437794336
91;-0.4249999999999998;0.0003553335969230696
92;-0.375;0.0004208142772784914
93;-0.3249999999999993;0.0004855434039550057
94;-0.2750000000000004;0.0006791438506476106
95;-0.2250000000000005;0.001117617027667324
96;-0.1749999999999998;0.001363501613240669
97;-0.125;0.001363501613223355
98;-0.07500000000000018;0.001363501613211158
99;-0.02500000000000036;0.00136350161320408
100;0.02499999999999947;0.001363501613207985
101;0.07499999999999929;0.001363501613222874
102;0.125;0.001159802161552124
103;0.1749999999999998;0.0007726098068060922
104;0.2249999999999996;0.0005778023413014503
105;0.2749999999999995;0.0005458928865085254
106;0.3249999999999993;0.0005087313528265067
107;0.375;0.0004626313532246211
108;0.4249999999999998;0.0003638519204537944
109;0.4749999999999996;0.0002356464661585762
110;0.5250000000000004;0.0002184310183233518
111;0.5750000000000002;0.0002207029739045039
112;0.625;0.0002025701692322593
113;0.6749999999999998;0.0001781901591134658
114;0.7249999999999996;0.0001706226801773268
115;0.7750000000000004;0.0001852065889399146
116;0.8250000000000002;0.0001990322085066975
117;0.875;0.0001938976939620632
118;0.9250000000000007;0.0001629941388621167
119;0.9750000000000005;0.0001181496914424818
120;1.025;0.0001097953237990137
121;1.075;0.0001078540722544603
122;1.125;9.469807173776268e-05
123;1.175000000000001;0.0001059150560160494
124;1.225000000000001;0.0001204385061076487
125;1.274999999999999;0.0001229154054923621
126;1.324999999999999;0.0001211621304027699
127;1.375;0.000101782118378821
128;1.425;8.274092354191509e-05
129;1.475;8.851948881309698e-05
130;1.524999999999999;9.440201779701265e-05
131;1.574999999999999;8.177545233528675e-05
132;1.625;7.063941260394287e-05
133;1.675;6.328019118503604e-05
134;1.725;6.517666625695855e-05
135;1.775;7.614279405312995e-05
136;1.825;7.838755497755002e-05
137;1.875;6.962426066835707e-05
138;1.925;7.004002403994568e-05
139;1.975;7.955812115761089e-05
140;2.025;7.187674172921853e-05
141;2.075;4.694924543382212e-05
142;2.125;3.760863647254226e-05
143;2.175000000000001;4.113761857643102e-05
144;2.225000000000001;5.323695674728178e-05
145;2.275;7.201734139198937e-05
146;2.325;6.70919374851886e-05
147;2.375;4.425254793027603e-05
148;2.425000000000001;4.284049989874123e-05
149;2.475000000000001;4.728780805069595e-05
150;2.524999999999999;4.727165883317526e-05
151;2.574999999999999;4.690420805256104e-05
152;2.625;4.347704971886959e-05
153;2.675;3.983093525817141e-05
154;2.725;4.121345802155641e-05
155;2.774999999999999;4.062804324068902e-05
156;2.824999999999999;3.782794018205072e-05
157;2.875;3.707859397959991e-05
158;2.925;4.029016940859637e-05
159;2.975;4.18480100332095e-05
160;3.025;3.829631173295584e-05
161;3.074999999999999;3.349667518588011e-05
162;3.125;3.181840206516807e-05
163;3.175000000000001;3.46040330206841e-05
164;3.225;3.64719741842072e-05
165;3.275;3.193199520955641e-05
166;3.324999999999999;2.916479878137926e-05
167;3.375;3.538134871301061e-05
168;3.425000000000001;3.578309014225629e-05
169;3.475;2.751617061879758e-05
170;3.525;2.45493177280167e-05
171;3.575000000000001;2.362999715361788e-05
172;3.625;2.698929233178283e-05
173;3.675000000000001;3.782950382194682e-05
174;3.725000000000001;3.824137162567763e-05
175;3.774999999999999;2.720702193142582e-05
176;3.824999999999999;2.157166993783859e-05
177;3.875;2.256479838118901e-05
178;3.924999999999999;2.327393187049965e-05
179;3.975;2.226965543023493e-05
180;4.025;2.281991137739313e-05
181;4.074999999999999;2.618042626872504e-05
182;4.125;2.919230918433872e-05
183;4.175000000000001;3.108368805226887e-05
184;4.225;2.920358216515381e-05
185;4.275;2.294947124149914e-05
186;4.324999999999999;1.985591658307414e-05
187;4.375;1.976897929141531e-05
188;4.425000000000001;1.738504950852358e-05
189;4.475;1.700270418638518e-05
190;4.525;2.030950763095139e-05
191;4.574999999999999;2.677466840217362e-05
192;4.625;3.078513442513615e-05
193;4.675000000000001;3.003819506478489e-05
194;4.725;2.798546917354518e-05
195;4.775;2.503499475499366e-05
196;4.825000000000001;1.965933104100052e-05
197;4.875;1.130487311180715e-05
198;4.925000000000001;7.361728205797968e-06
199;4.975000000000001;1.188210965120868e-05
