iT;t;p1(xAchse);p2(XAchse);p3(diagonal);p4(diagonal)
0;0;0;0;0;0
1;0.00078125;0;0;0;0
2;0.0015625;0;0;0;0
3;0.00234375;0;0;0;0
4;0.003125;0;0;0;0
5;0.00390625;0;0;0;0
6;0.004687500000000001;0;0;0;0
7;0.005468750000000001;0;0;0;0
8;0.00625;0;0;0;0
9;0.00703125;0;0;0;0
10;0.0078125;0;0;0;0
11;0.008593750000000001;0;0;0;0
12;0.009375000000000001;0;0;0;0
13;0.01015625;0;0;0;0
14;0.0109375;0;0;0;0
15;0.01171875;0;0;0;0
16;0.0125;0;0;0;0
17;0.01328125;0;0;0;0
18;0.0140625;0;0;0;0
19;0.01484375;0;0;0;0
20;0.015625;0;0;0;0
21;0.01640625;0;0;0;0
22;0.0171875;0;0;0;0
23;0.01796875;0;0;0;0
24;0.01875;0;0;0;0
25;0.01953125;0;0;0;0
26;0.0203125;0;0;0;0
27;0.02109375;0;0;0;0
28;0.021875;0;0;0;0
29;0.02265625;0;0;0;0
30;0.0234375;0;0;0;0
31;0.02421875;0;0;0;0
32;0.025;-1.553720115528752e-12;0;0;0
33;0.02578125;-1.114131009671837e-11;0;0;0
34;0.0265625;-3.58871451074568e-11;-8.715990891990563e-13;0;0
35;0.02734375;-6.775735528208315e-11;-6.442254137558241e-12;0;0
36;0.028125;-7.984605569314833e-11;-2.076679569048186e-11;0;0
37;0.02890625;-4.816532358139133e-11;-3.766823889842878e-11;0;0
38;0.0296875;2.190366406769802e-11;-3.80471950241675e-11;0;0
39;0.03046875;6.328567299836625e-11;-1.140657938473547e-11;0;0
40;0.03125;-9.485271827240165e-11;2.008467466415216e-11;7.579122514774402e-14;0
41;0.03203125;-6.900033137450615e-10;1.697723443309466e-11;2.273736754432321e-13;0
42;0.0328125;-1.939838512043934e-09;-3.145335843631377e-11;4.547473508864641e-13;0
43;0.03359375;-4.353826928612155e-09;-1.15164766611997e-10;9.094947017729282e-13;0
44;0.034375;-9.817275288999857e-09;-3.361340835302447e-10;6.063298011819521e-13;0
45;0.03515625;-2.302886059624143e-08;-1.091166268452071e-09;-3.372709519074609e-12;0
46;0.0359375;-5.28199279870023e-08;-3.158826681707675e-09;-1.485508012895783e-11;0
47;0.03671875;-1.142465180237195e-07;-7.887479114287999e-09;-3.637978807091713e-11;0
48;0.03750000000000001;-2.326828886604441e-07;-1.814180450310232e-08;-6.752998160663992e-11;0
49;0.03828125;-4.48475475423038e-07;-4.033230046237198e-08;-1.039097696775571e-10;4.547473508864641e-13
50;0.0390625;-8.180042717261434e-07;-8.689013005399222e-08;-1.367273701665302e-10;1.894780628693601e-12
51;0.03984375;-1.407949184795143e-06;-1.785267613740871e-07;-1.548035773642672e-10;4.699055959160129e-12
52;0.040625;-2.281688239236246e-06;-3.465752721846608e-07;-1.5101401610688e-10;8.791782117138306e-12
53;0.04140625000000001;-3.476011859978219e-06;-6.350899184326408e-07;-1.264576591590109e-10;1.32634644008552e-11
54;0.0421875;-4.966336859979492e-06;-1.099589023093965e-06;-8.647778789357592e-11;1.644669585706045e-11
55;0.04296875;-6.625398706698131e-06;-1.798035251946809e-06;-3.440921621707579e-11;1.65224870822082e-11
56;0.04375;-8.190358926185581e-06;-2.772086569772606e-06;2.622376390111943e-11;1.20508047984913e-11
57;0.04453125;-9.257450907777335e-06;-4.019915498550593e-06;8.42040511391436e-11;3.713770032239457e-12
58;0.04531250000000001;-9.320214455025658e-06;-5.463842057906731e-06;1.11337309742036e-10;-5.229594535194337e-12
59;0.04609375;-7.859958221464089e-06;-6.919525427899013e-06;3.721349154754231e-11;-1.121710132186612e-11
60;0.046875;-4.483399076586163e-06;-8.079852705122903e-06;-3.184747280708204e-10;-1.212659602363904e-11
61;0.04765625;9.186341382398192e-07;-8.530446052645857e-06;-1.389139470120426e-09;-7.579122514774403e-12
62;0.0484375;8.037168602944197e-06;-7.809086772188797e-06;-4.136874546626738e-09;1.970571853841344e-12
63;0.04921875000000001;1.608736245846861e-05;-5.50923334685649e-06;-1.055218490364496e-08;1.477928890381008e-11
64;0.05;2.386608313524145e-05;-1.412367017413392e-06;-2.447075075906469e-08;2.622376390111943e-11
65;0.05078125;2.993517811470762e-05;4.381848536165005e-06;-5.274205250316299e-08;2.690588492744913e-11
66;0.0515625;3.290261126191277e-05;1.136971983820937e-05;-1.066509109174755e-07;-2.652692880171041e-12
67;0.05234375;3.173772574882605e-05;1.864276631143487e-05;-2.032690720928561e-07;-1.094804247259162e-10
68;0.05312500000000001;2.603876797972286e-05;2.499506611760201e-05;-3.661020097448879e-07;-4.084389123211925e-10
69;0.05390625;1.61795156448837e-05;2.913174769976952e-05;-6.240787039738885e-07;-1.166805911149519e-09
70;0.0546875;3.294009275123244e-06;2.993890082810443e-05;-1.007751090279877e-06;-2.97086444334127e-09
71;0.05546875;-1.089800616682624e-05;2.675066912161128e-05;-1.541732482716422e-06;-7.027513978149121e-09
72;0.05625;-2.438201643902478e-05;1.954312157674091e-05;-2.233098067942289e-06;-1.565539757090543e-08
73;0.05703125000000001;-3.518895042968021e-05;9.000865247799084e-06;-3.05676837797364e-06;-3.30001436547415e-08
74;0.0578125;-4.171497278093739e-05;-3.564130376313793e-06;-3.940649094147375e-06;-6.595189461222617e-08
75;0.05859375;-4.296604208775534e-05;-1.642350919913345e-05;-4.755090913022286e-06;-1.251275989488931e-07
76;0.059375;-3.869548648557005e-05;-2.772440298789055e-05;-5.312389627457985e-06;-2.256055798473729e-07
77;0.06015625;-2.942559270498653e-05;-3.579861629532388e-05;-5.381777327784221e-06;-3.868921870283278e-07
78;0.06093750000000001;-1.636159864422855e-05;-3.942924430096658e-05;-4.723055288498775e-06;-6.314202209978248e-07
79;0.06171875;-1.217528582249846e-06;-3.803215501344918e-05;-3.137618250548257e-06;-9.808382325597147e-07
80;0.0625;1.401984923177224e-05;-3.173202321704593e-05;-5.298398188339585e-07;-1.44956792761756e-06
81;0.06328125;2.735764496719639e-05;-2.133241601616949e-05;3.033892047218008e-06;-2.035689173377856e-06
82;0.06406250000000001;3.705962467392965e-05;-8.193572284653783e-06;7.284852017619414e-06;-2.710172642158189e-06
83;0.06484375000000001;4.187136740559557e-05;5.959736275447843e-06;1.174653364917807e-05;-3.406697715035989e-06
84;0.065625;4.117955328789927e-05;1.927276813754967e-05;1.577520250369465e-05;-4.015449879564888e-06
85;0.06640625;3.508664099172165e-05;3.000737107565025e-05;1.864800462196096e-05;-4.384916830228273e-06
86;0.0671875;2.439360628159193e-05;3.676933624774392e-05;1.968805221016131e-05;-4.335294685612705e-06
87;0.06796875000000001;1.049469642566692e-05;3.868787598548806e-05;1.840435015765252e-05;-3.685327783387038e-06
88;0.06875000000000001;-4.802027698739646e-06;3.552505381776427e-05;1.461693576250885e-05;-2.29124880964567e-06
