x_phys_m;y_phys_m;z_phys_m;p_peak_Pa
0;-1.24375;-1.24375;0;1.256271307189155e-05
1;-1.23125;-1.23125;0;1.117958243905074e-05
2;-1.21875;-1.21875;0;9.278026842215066e-06
3;-1.20625;-1.20625;0;7.369230298574312e-06
4;-1.19375;-1.19375;0;9.871394202794646e-06
5;-1.18125;-1.18125;0;1.180702939507228e-05
6;-1.16875;-1.16875;0;1.305880132444297e-05
7;-1.15625;-1.15625;0;1.588541772908533e-05
8;-1.14375;-1.14375;0;1.727137071820077e-05
9;-1.13125;-1.13125;0;1.857093847471937e-05
10;-1.11875;-1.11875;0;2.008119298106218e-05
11;-1.10625;-1.10625;0;2.087672725300157e-05
12;-1.09375;-1.09375;0;2.053596249614504e-05
13;-1.08125;-1.08125;0;1.910910824184005e-05
14;-1.06875;-1.06875;0;1.705750943396352e-05
15;-1.05625;-1.05625;0;1.588517474952293e-05
16;-1.04375;-1.04375;0;1.568795529986269e-05
17;-1.03125;-1.03125;0;1.5492296564427e-05
18;-1.01875;-1.01875;0;1.543959308255201e-05
19;-1.00625;-1.00625;0;1.91619865243334e-05
20;-0.99375;-0.99375;0;2.313491520074725e-05
21;-0.98125;-0.98125;0;2.677401219131072e-05
22;-0.96875;-0.96875;0;2.828835168363261e-05
23;-0.95625;-0.95625;0;2.630518514716112e-05
24;-0.94375;-0.94375;0;2.437516244431967e-05
25;-0.93125;-0.93125;0;2.170704925201032e-05
26;-0.91875;-0.91875;0;2.019148412320721e-05
27;-0.90625;-0.90625;0;1.98789569623159e-05
28;-0.89375;-0.89375;0;1.984750038748946e-05
29;-0.8812500000000001;-0.8812500000000001;0;2.014539398468664e-05
30;-0.86875;-0.86875;0;2.40149302754844e-05
31;-0.85625;-0.85625;0;2.858587963316951e-05
32;-0.84375;-0.84375;0;3.117784089094281e-05
33;-0.83125;-0.83125;0;3.179508444380492e-05
34;-0.8187500000000001;-0.8187500000000001;0;3.075443911863358e-05
35;-0.80625;-0.80625;0;2.856482305446662e-05
36;-0.79375;-0.79375;0;2.599969831843886e-05
37;-0.78125;-0.78125;0;2.523924508087324e-05
38;-0.76875;-0.76875;0;2.552187311740302e-05
39;-0.75625;-0.75625;0;2.59226843558243e-05
40;-0.7437499999999999;-0.7437499999999999;0;2.624864220498086e-05
41;-0.7312500000000001;-0.7312500000000001;0;2.686683467108726e-05
42;-0.71875;-0.71875;0;3.490967623539138e-05
43;-0.70625;-0.70625;0;3.822919187257411e-05
44;-0.69375;-0.69375;0;3.75165613727783e-05
45;-0.68125;-0.68125;0;3.546665755512398e-05
46;-0.66875;-0.66875;0;3.296690050547114e-05
47;-0.65625;-0.65625;0;3.275021860578892e-05
48;-0.64375;-0.64375;0;3.348779126118491e-05
49;-0.63125;-0.63125;0;3.417149198507254e-05
50;-0.61875;-0.61875;0;3.479706980395273e-05
51;-0.60625;-0.60625;0;3.577948860330102e-05
52;-0.59375;-0.59375;0;3.758385625947842e-05
53;-0.5812499999999999;-0.5812499999999999;0;4.015394655236076e-05
54;-0.56875;-0.56875;0;4.17824552082872e-05
55;-0.5562499999999999;-0.5562499999999999;0;4.272605875617805e-05
56;-0.5437500000000001;-0.5437500000000001;0;4.323100659083446e-05
57;-0.53125;-0.53125;0;4.425746909930692e-05
58;-0.51875;-0.51875;0;4.5590836364795e-05
59;-0.5062500000000001;-0.5062500000000001;0;4.678331269284775e-05
60;-0.49375;-0.49375;0;4.831419335478888e-05
61;-0.48125;-0.48125;0;5.058762301028236e-05
62;-0.46875;-0.46875;0;5.234594244522366e-05
63;-0.45625;-0.45625;0;5.393172831228789e-05
64;-0.44375;-0.44375;0;5.810454452396623e-05
65;-0.4312499999999999;-0.4312499999999999;0;5.957461988496486e-05
66;-0.41875;-0.41875;0;6.119297677760946e-05
67;-0.40625;-0.40625;0;6.349712844648058e-05
68;-0.3937499999999999;-0.3937499999999999;0;6.60276274639197e-05
69;-0.3812500000000001;-0.3812500000000001;0;6.946873473860163e-05
70;-0.36875;-0.36875;0;7.275380600428132e-05
71;-0.3562500000000001;-0.3562500000000001;0;7.534760375212574e-05
72;-0.34375;-0.34375;0;7.835871465762996e-05
73;-0.33125;-0.33125;0;8.390496536255411e-05
74;-0.31875;-0.31875;0;8.77010042756865e-05
75;-0.30625;-0.30625;0;9.139273754499297e-05
76;-0.29375;-0.29375;0;9.635967862209327e-05
77;-0.28125;-0.28125;0;0.000102312058421224
78;-0.2687499999999999;-0.2687499999999999;0;0.0001077053697216002
79;-0.25625;-0.25625;0;0.000115288428212068
80;-0.2437499999999999;-0.2437499999999999;0;0.0001213947811251614
81;-0.2312500000000002;-0.2312500000000002;0;0.0001288236807302683
82;-0.21875;-0.21875;0;0.0001403692391808893
83;-0.20625;-0.20625;0;0.0001503637051953886
84;-0.1937500000000001;-0.1937500000000001;0;0.0001562205765945161
85;-0.1812499999999999;-0.1812499999999999;0;0.0001753636330334986
86;-0.16875;-0.16875;0;0.0001932450094841442
87;-0.15625;-0.15625;0;0.0001981023351523467
88;-0.14375;-0.14375;0;0.0002219025819390669
89;-0.1312500000000001;-0.1312500000000001;0;0.0002497987928080646
90;-0.1187499999999999;-0.1187499999999999;0;0.0002639397761943961
91;-0.10625;-0.10625;0;0.0003201107198123056
92;-0.09375;-0.09375;0;0.0003726186249579654
93;-0.08124999999999982;-0.08124999999999982;0;0.0004088555509677388
94;-0.06875000000000009;-0.06875000000000009;0;0.0005048360815038664
95;-0.05625000000000013;-0.05625000000000013;0;0.0005793996899114967
96;-0.04374999999999996;-0.04374999999999996;0;0.0007625935728843983
97;-0.03125;-0.03125;0;0.001479044993547031
98;-0.01875000000000004;-0.01875000000000004;0;0.001999890419869625
99;-0.006250000000000089;-0.006250000000000089;0;0.001999890419869625
100;0.006249999999999867;0.006249999999999867;0;0.001999890419869625
101;0.01874999999999982;0.01874999999999982;0;0.001999890419869625
102;0.03125;0.03125;0;0.001456025825973493
103;0.04374999999999996;0.04374999999999996;0;0.00084041793096172
104;0.05624999999999991;0.05624999999999991;0;0.0006497990667213597
105;0.06874999999999987;0.06874999999999987;0;0.0004606566158926763
106;0.08124999999999982;0.08124999999999982;0;0.0003879447923935699
107;0.09375;0.09375;0;0.0003586960037793577
108;0.10625;0.10625;0;0.0003096385867020035
109;0.1187499999999999;0.1187499999999999;0;0.0002692241520871145
110;0.1312500000000001;0.1312500000000001;0;0.0002503186940430167
111;0.14375;0.14375;0;0.0002210667120981687
112;0.15625;0.15625;0;0.0002000329760984227
113;0.16875;0.16875;0;0.0001898393583132929
114;0.1812499999999999;0.1812499999999999;0;0.000171297885430022
115;0.1937500000000001;0.1937500000000001;0;0.0001574942924567798
116;0.20625;0.20625;0;0.0001507515858421018
117;0.21875;0.21875;0;0.0001367366072789388
118;0.2312500000000002;0.2312500000000002;0;0.0001270918979538275
119;0.2437500000000001;0.2437500000000001;0;0.0001224263337936312
120;0.2562500000000001;0.2562500000000001;0;0.0001145188162846958
121;0.26875;0.26875;0;0.0001061042909000775
122;0.28125;0.28125;0;0.000101749743275074
123;0.2937500000000002;0.2937500000000002;0;9.710777523489847e-05
124;0.3062500000000001;0.3062500000000001;0;9.153400375794256e-05
125;0.3187499999999999;0.3187499999999999;0;8.690761670256589e-05
126;0.3312499999999998;0.3312499999999998;0;8.25942813283596e-05
127;0.34375;0.34375;0;7.901303060009464e-05
128;0.35625;0.35625;0;7.589159815542728e-05
129;0.3687499999999999;0.3687499999999999;0;7.214262612128176e-05
130;0.3812499999999999;0.3812499999999999;0;6.850485284578182e-05
131;0.3937499999999998;0.3937499999999998;0;6.630419876548402e-05
