x_phys_m;p_peak_Pa
0;-1.24375;1.558710440955714e-05
1;-1.23125;1.393975609668511e-05
2;-1.21875;1.682948636509241e-05
3;-1.20625;2.748433622438525e-05
4;-1.19375;3.487336284517061e-05
5;-1.18125;3.950821781018023e-05
6;-1.16875;4.078921353804312e-05
7;-1.15625;3.808959738194061e-05
8;-1.14375;3.17148342598255e-05
9;-1.13125;2.676034385255361e-05
10;-1.11875;2.62395964417313e-05
11;-1.10625;2.625942228936159e-05
12;-1.09375;2.629843851309487e-05
13;-1.08125;2.992937760382124e-05
14;-1.06875;3.716761626530263e-05
15;-1.05625;4.14865214395377e-05
16;-1.04375;4.227468845859522e-05
17;-1.03125;3.9158701819512e-05
18;-1.01875;3.352509575430913e-05
19;-1.00625;3.126829610285616e-05
20;-0.99375;3.05457665585133e-05
21;-0.98125;3.072170362846312e-05
22;-0.96875;3.116599395980302e-05
23;-0.95625;3.449632530797917e-05
24;-0.94375;4.121146757067132e-05
25;-0.93125;4.55386565363369e-05
26;-0.91875;4.558620939102787e-05
27;-0.90625;4.222794056355875e-05
28;-0.89375;3.893487574183993e-05
29;-0.8812500000000001;3.742795682152671e-05
30;-0.86875;3.737618867679279e-05
31;-0.85625;3.782493604376215e-05
32;-0.84375;3.818741431397636e-05
33;-0.83125;4.143786602147272e-05
34;-0.8187500000000001;4.717459353287266e-05
35;-0.80625;5.102897032808564e-05
36;-0.79375;5.060262384404264e-05
37;-0.78125;4.877327127890869e-05
38;-0.76875;4.707996430397546e-05
39;-0.75625;4.598287351124478e-05
40;-0.7437499999999999;4.57513930882669e-05
41;-0.7312500000000001;4.693830035762402e-05
42;-0.71875;4.820715459648758e-05
43;-0.70625;4.959898780043658e-05
44;-0.69375;5.318134304843625e-05
45;-0.68125;5.688736824064712e-05
46;-0.66875;5.822737241108674e-05
47;-0.65625;5.823068931931626e-05
48;-0.64375;5.825532052009906e-05
49;-0.63125;5.818881301896302e-05
50;-0.61875;5.914301680339425e-05
51;-0.60625;6.097009748865883e-05
52;-0.59375;6.25688061575147e-05
53;-0.5812499999999999;6.446850264296701e-05
54;-0.56875;6.584068472648141e-05
55;-0.5562499999999999;6.75125822814001e-05
56;-0.5437500000000001;6.98909661120221e-05
57;-0.53125;7.233832681663438e-05
58;-0.51875;7.44447760515262e-05
59;-0.5062500000000001;7.711025921253159e-05
60;-0.49375;7.942227514945444e-05
61;-0.48125;8.219215072813317e-05
62;-0.46875;8.443006847376938e-05
63;-0.45625;8.712834970007552e-05
64;-0.44375;8.963090876553301e-05
65;-0.4312499999999999;9.330911733703338e-05
66;-0.41875;9.733590748813488e-05
67;-0.40625;0.000101899959891701
68;-0.3937499999999999;0.0001054567624692027
69;-0.3812500000000001;0.0001093095288808852
70;-0.36875;0.0001123532183745131
71;-0.3562500000000001;0.0001172783564697965
72;-0.34375;0.0001223067945469817
73;-0.33125;0.0001295746615899891
74;-0.31875;0.0001356456971185102
75;-0.30625;0.0001433224037915199
76;-0.29375;0.0001497401477100387
77;-0.28125;0.0001566506404723592
78;-0.2687499999999999;0.0001628395742632923
79;-0.25625;0.000169342435034044
80;-0.2437499999999999;0.0001794046117993275
81;-0.2312500000000002;0.0001980736289700263
82;-0.21875;0.0002109094018957574
83;-0.20625;0.0002232559460442944
84;-0.1937500000000001;0.0002395470146628516
85;-0.1812499999999999;0.0002620245170514107
86;-0.16875;0.0002821634513926106
87;-0.15625;0.0003012066223012275
88;-0.14375;0.0003141497247725058
89;-0.1312500000000001;0.0003352307646859265
90;-0.1187499999999999;0.0003889373782328679
91;-0.10625;0.0004701690556316865
92;-0.09375;0.0005323713903256545
93;-0.08124999999999982;0.0006206956803396228
94;-0.06875000000000009;0.0009393626744819444
