x_phys_m;y_phys_m;z_phys_m;p_rms_Pa
0;-1.24375;-1.24375;0;3.105264669875952e-06
1;-1.23125;-1.23125;0;2.597697944827887e-06
2;-1.21875;-1.21875;0;2.133816853892865e-06
3;-1.20625;-1.20625;0;1.96535233712737e-06
4;-1.19375;-1.19375;0;2.223683655122652e-06
5;-1.18125;-1.18125;0;2.630437821215388e-06
6;-1.16875;-1.16875;0;3.091845933660572e-06
7;-1.15625;-1.15625;0;3.771910448197099e-06
8;-1.14375;-1.14375;0;4.498331054723403e-06
9;-1.13125;-1.13125;0;5.171540796597919e-06
10;-1.11875;-1.11875;0;5.681722552505119e-06
11;-1.10625;-1.10625;0;5.979012122904538e-06
12;-1.09375;-1.09375;0;5.95412341312948e-06
13;-1.08125;-1.08125;0;5.628701080809909e-06
14;-1.06875;-1.06875;0;5.129406895266271e-06
15;-1.05625;-1.05625;0;4.589589410843615e-06
16;-1.04375;-1.04375;0;4.258046039519868e-06
17;-1.03125;-1.03125;0;4.358313894114081e-06
18;-1.01875;-1.01875;0;4.901135472544857e-06
19;-1.00625;-1.00625;0;5.767045437990356e-06
20;-0.99375;-0.99375;0;6.681730753287749e-06
21;-0.98125;-0.98125;0;7.509447932831926e-06
22;-0.96875;-0.96875;0;8.066872331066628e-06
23;-0.95625;-0.95625;0;8.29612120706041e-06
24;-0.94375;-0.94375;0;8.176791754351014e-06
25;-0.93125;-0.93125;0;7.788151621457765e-06
26;-0.91875;-0.91875;0;7.347106650304057e-06
27;-0.90625;-0.90625;0;7.109362471878984e-06
28;-0.89375;-0.89375;0;7.281651776916836e-06
29;-0.8812500000000001;-0.8812500000000001;0;7.885258358988978e-06
30;-0.86875;-0.86875;0;8.67332691436695e-06
31;-0.85625;-0.85625;0;9.473779247932717e-06
32;-0.84375;-0.84375;0;1.009061147507539e-05
33;-0.83125;-0.83125;0;1.05129475503589e-05
34;-0.8187500000000001;-0.8187500000000001;0;1.073759951872802e-05
35;-0.80625;-0.80625;0;1.08407291998225e-05
36;-0.79375;-0.79375;0;1.087966867410079e-05
37;-0.78125;-0.78125;0;1.093095509968438e-05
38;-0.76875;-0.76875;0;1.105218356107249e-05
39;-0.75625;-0.75625;0;1.135023828884644e-05
40;-0.7437499999999999;-0.7437499999999999;0;1.185760213867927e-05
41;-0.7312500000000001;-0.7312500000000001;0;1.261595642796068e-05
42;-0.71875;-0.71875;0;1.34745322342721e-05
43;-0.70625;-0.70625;0;1.433666444870866e-05
44;-0.69375;-0.69375;0;1.501754042159654e-05
45;-0.68125;-0.68125;0;1.54859489810738e-05
46;-0.66875;-0.66875;0;1.575387006353469e-05
47;-0.65625;-0.65625;0;1.599914751119696e-05
48;-0.64375;-0.64375;0;1.636243247453421e-05
49;-0.63125;-0.63125;0;1.697084958993059e-05
50;-0.61875;-0.61875;0;1.774905144318067e-05
51;-0.60625;-0.60625;0;1.863273254642788e-05
52;-0.59375;-0.59375;0;1.944716139803288e-05
53;-0.5812499999999999;-0.5812499999999999;0;2.021391900129024e-05
54;-0.56875;-0.56875;0;2.093044879101386e-05
55;-0.5562499999999999;-0.5562499999999999;0;2.173613524153406e-05
56;-0.5437500000000001;-0.5437500000000001;0;2.26576420404314e-05
57;-0.53125;-0.53125;0;2.373116103869915e-05
58;-0.51875;-0.51875;0;2.474545178321583e-05
59;-0.5062500000000001;-0.5062500000000001;0;2.570953926235816e-05
60;-0.49375;-0.49375;0;2.667274180583897e-05
61;-0.48125;-0.48125;0;2.775647095734614e-05
62;-0.46875;-0.46875;0;2.89170375646823e-05
63;-0.45625;-0.45625;0;3.03973440176819e-05
64;-0.44375;-0.44375;0;3.204948388275268e-05
65;-0.4312499999999999;-0.4312499999999999;0;3.367281318308472e-05
66;-0.41875;-0.41875;0;3.518658412588231e-05
67;-0.40625;-0.40625;0;3.671667126907661e-05
68;-0.3937499999999999;-0.3937499999999999;0;3.820523643097972e-05
69;-0.3812500000000001;-0.3812500000000001;0;4.01407708079836e-05
70;-0.36875;-0.36875;0;4.234488941564537e-05
71;-0.3562500000000001;-0.3562500000000001;0;4.456939486779569e-05
72;-0.34375;-0.34375;0;4.720140598935759e-05
73;-0.33125;-0.33125;0;5.023626271772457e-05
74;-0.31875;-0.31875;0;5.238285177669777e-05
75;-0.30625;-0.30625;0;5.484875524197797e-05
76;-0.29375;-0.29375;0;5.865937413347115e-05
77;-0.28125;-0.28125;0;6.223424951828588e-05
78;-0.2687499999999999;-0.2687499999999999;0;6.589434112287944e-05
79;-0.25625;-0.25625;0;7.142168964865823e-05
80;-0.2437499999999999;-0.2437499999999999;0;7.611988458067327e-05
81;-0.2312500000000002;-0.2312500000000002;0;8.034941182557432e-05
82;-0.21875;-0.21875;0;8.716584936460303e-05
83;-0.20625;-0.20625;0;9.38016072473871e-05
84;-0.1937500000000001;-0.1937500000000001;0;9.890885899595185e-05
85;-0.1812499999999999;-0.1812499999999999;0;0.000111972022943505
86;-0.16875;-0.16875;0;0.0001238697329480088
87;-0.15625;-0.15625;0;0.0001272647206618728
88;-0.14375;-0.14375;0;0.0001442541286007138
89;-0.1312500000000001;-0.1312500000000001;0;0.0001625733093533822
90;-0.1187499999999999;-0.1187499999999999;0;0.0001708327015305368
91;-0.10625;-0.10625;0;0.000210024270842271
92;-0.09375;-0.09375;0;0.0002463072638944032
93;-0.08124999999999982;-0.08124999999999982;0;0.0002729642274292235
94;-0.06875000000000009;-0.06875000000000009;0;0.0003365792300718356
95;-0.05625000000000013;-0.05625000000000013;0;0.0003848480198627626
96;-0.04374999999999996;-0.04374999999999996;0;0.0005093016319354014
97;-0.03125;-0.03125;0;0.001002724807661366
98;-0.01875000000000004;-0.01875000000000004;0;0.00136350161323469
99;-0.006250000000000089;-0.006250000000000089;0;0.001363501613235167
100;0.006249999999999867;0.006249999999999867;0;0.001363501613235913
101;0.01874999999999982;0.01874999999999982;0;0.001363501613235853
102;0.03125;0.03125;0;0.0009864687708745045
103;0.04374999999999996;0.04374999999999996;0;0.0005617107695893965
104;0.05624999999999991;0.05624999999999991;0;0.0004346577455881737
105;0.06874999999999987;0.06874999999999987;0;0.0003104116489879792
106;0.08124999999999982;0.08124999999999982;0;0.0002562226828720573
107;0.09375;0.09375;0;0.0002353985660471887
108;0.10625;0.10625;0;0.0002015947836675962
109;0.1187499999999999;0.1187499999999999;0;0.0001760760274367997
110;0.1312500000000001;0.1312500000000001;0;0.0001616796003564799
111;0.14375;0.14375;0;0.0001422018460527958
112;0.15625;0.15625;0;0.0001287814640511162
113;0.16875;0.16875;0;0.0001231871933416392
114;0.1812499999999999;0.1812499999999999;0;0.0001095451482241914
115;0.1937500000000001;0.1937500000000001;0;9.860205860295595e-05
116;0.20625;0.20625;0;9.410997802441173e-05
117;0.21875;0.21875;0;8.575863531558416e-05
118;0.2312500000000002;0.2312500000000002;0;7.942293384591108e-05
119;0.2437500000000001;0.2437500000000001;0;7.590704658315349e-05
120;0.2562500000000001;0.2562500000000001;0;7.062761415824482e-05
121;0.26875;0.26875;0;6.538658310010504e-05
122;0.28125;0.28125;0;6.199891545042351e-05
123;0.2937500000000002;0.2937500000000002;0;5.828518202136125e-05
124;0.3062500000000001;0.3062500000000001;0;5.469835324920118e-05
125;0.3187499999999999;0.3187499999999999;0;5.235530248504452e-05
126;0.3312499999999998;0.3312499999999998;0;4.988424764519714e-05
127;0.34375;0.34375;0;4.692128165817899e-05
128;0.35625;0.35625;0;4.453419167576993e-05
129;0.3687499999999999;0.3687499999999999;0;4.211531184970003e-05
130;0.3812499999999999;0.3812499999999999;0;3.986401384583203e-05
131;0.3937499999999998;0.3937499999999998;0;3.819872695214653e-05
132;0.40625;0.40625;0;3.675138718443576e-05
133;0.41875;0.41875;0;3.512492230286207e-05
134;0.4312499999999999;0.4312499999999999;0;3.356641380625612e-05
135;0.4437500000000001;0.4437500000000001;0;3.192697671165614e-05
136;0.45625;0.45625;0;3.030018228746035e-05
137;0.46875;0.46875;0;2.887284049036682e-05
138;0.48125;0.48125;0;2.773914313591956e-05
139;0.4937499999999999;0.4937499999999999;0;2.668048751584313e-05
140;0.5062500000000001;0.5062500000000001;0;2.572426422732382e-05
141;0.51875;0.51875;0;2.471490900796656e-05
142;0.53125;0.53125;0;2.366573224106115e-05
143;0.5437500000000002;0.5437500000000002;0;2.262319577984722e-05
144;0.5562500000000001;0.5562500000000001;0;2.174746515635139e-05
