x_phys_m;p_rms_Pa
0;-1.24375;5.174321375326407e-06
1;-1.23125;3.499156589843165e-06
2;-1.21875;6.4952121471611e-06
3;-1.20625;1.034730817525086e-05
4;-1.19375;1.328857553610136e-05
5;-1.18125;1.519920227852742e-05
6;-1.16875;1.571506811713723e-05
7;-1.15625;1.491876655756098e-05
8;-1.14375;1.309544282060863e-05
9;-1.13125;1.059456754729763e-05
10;-1.11875;8.53685752164491e-06
11;-1.10625;8.196247174080334e-06
12;-1.09375;9.840849157562187e-06
13;-1.08125;1.243778977333746e-05
14;-1.06875;1.463151135227323e-05
15;-1.05625;1.6141533262928e-05
16;-1.04375;1.658748070167724e-05
17;-1.03125;1.609042984109244e-05
18;-1.01875;1.491778919435755e-05
19;-1.00625;1.351619787145262e-05
20;-0.99375;1.261407842234166e-05
21;-0.98125;1.279322586725478e-05
22;-0.96875;1.393427195219599e-05
23;-0.95625;1.569556827147334e-05
24;-0.94375;1.724524260278986e-05
25;-0.93125;1.841442637199241e-05
26;-0.91875;1.887125901845905e-05
27;-0.90625;1.878559397440765e-05
28;-0.89375;1.831618307850226e-05
29;-0.8812500000000001;1.786215108317079e-05
30;-0.86875;1.771341189303279e-05
31;-0.85625;1.818504810018555e-05
32;-0.84375;1.906361994321341e-05
33;-0.83125;2.031369424825807e-05
34;-0.8187500000000001;2.142442191385427e-05
35;-0.80625;2.241140865803259e-05
36;-0.79375;2.300380850203084e-05
37;-0.78125;2.342360947723172e-05
38;-0.76875;2.363112299134365e-05
39;-0.75625;2.394567816365383e-05
40;-0.7437499999999999;2.432449506408088e-05
41;-0.7312500000000001;2.502989465816114e-05
42;-0.71875;2.581845244927088e-05
43;-0.70625;2.686031917168469e-05
44;-0.69375;2.779069232814827e-05
45;-0.68125;2.881331584259531e-05
46;-0.66875;2.966899434822616e-05
47;-0.65625;3.064800238948784e-05
48;-0.64375;3.148667051245336e-05
49;-0.63125;3.249424956596885e-05
50;-0.61875;3.339048632873429e-05
51;-0.60625;3.451031607760247e-05
52;-0.59375;3.551886572100982e-05
53;-0.5812499999999999;3.675852118136677e-05
54;-0.56875;3.781653723501058e-05
55;-0.5562499999999999;3.909720421789267e-05
56;-0.5437500000000001;4.034168040690717e-05
57;-0.53125;4.197533031949972e-05
58;-0.51875;4.347744414956868e-05
59;-0.5062500000000001;4.532187052210227e-05
60;-0.49375;4.698654926234414e-05
61;-0.48125;4.894478167568202e-05
