iT;t;p1(xAchse);p2(XAchse);p3(diagonal);p4(diagonal)
0;0;0;0;0;0
1;0.00078125;0;0;0;0
2;0.0015625;0;0;0;0
3;0.00234375;0;0;0;0
4;0.003125;0;0;0;0
5;0.00390625;0;0;0;0
6;0.004687500000000001;0;0;0;0
7;0.005468750000000001;0;0;0;0
8;0.00625;0;0;0;0
9;0.00703125;0;0;0;0
10;0.0078125;0;0;0;0
11;0.008593750000000001;0;0;0;0
12;0.009375000000000001;0;0;0;0
13;0.01015625;0;0;0;0
14;0.0109375;0;0;0;0
15;0.01171875;0;0;0;0
16;0.0125;0;0;0;0
17;0.01328125;0;0;0;0
18;0.0140625;0;0;0;0
19;0.01484375;0;0;0;0
20;0.015625;0;0;0;0
21;0.01640625;7.724015934703249e-10;0;0;0
22;0.0171875;5.70642102199296e-09;0;0;0
23;0.01796875;1.803210131280745e-08;0;0;0
24;0.01875;2.755920480315884e-08;-3.805973392445593e-10;0;0
25;0.01953125;4.351434957546492e-09;-2.781591319944709e-09;0;0
26;0.0203125;-7.386118692617551e-08;-8.742531887643659e-09;0;0
27;0.02109375;-1.872515269496943e-07;-1.457993372847947e-08;0;0
28;0.021875;-2.982741435213635e-07;-1.273411980946548e-08;0;0
29;0.02265625;-4.235934565561668e-07;-8.440470507290834e-09;0;0
30;0.0234375;-6.36318038596073e-07;-2.966417863111322e-08;0;0
31;0.02421875;-9.65958586069367e-07;-1.010095882520545e-07;0;0
32;0.025;-1.392889864655444e-06;-2.055459401162807e-07;0;0
33;0.02578125;-2.052912979949421e-06;-2.980029887112323e-07;0;0
34;0.0265625;-3.352575408158979e-06;-3.751101534968862e-07;0;0
35;0.02734375;-5.686257943307281e-06;-5.072327643574681e-07;0;0
36;0.028125;-9.046160397459362e-06;-7.625774191789484e-07;0;0
37;0.02890625;-1.302954941032415e-05;-1.15177571545549e-06;0;0
38;0.0296875;-1.701783321841503e-05;-1.755635814091268e-06;-8.755402329067387e-14;0
39;0.03046875;-1.997961684707358e-05;-2.851141171656005e-06;1.225756326069434e-12;0
40;0.03125;-2.027125693469618e-05;-4.729559070741136e-06;7.529646002997954e-12;0
41;0.03203125;-1.614260660401972e-05;-7.410586802628433e-06;1.733569661155343e-11;0
42;0.0328125;-6.598795179403774e-06;-1.064166025316808e-05;3.204477252438664e-11;0
43;0.03359375;8.106199927957881e-06;-1.398622184157527e-05;6.303889676928519e-11;0
44;0.034375;2.629458429679895e-05;-1.664883451085188e-05;3.467139322310686e-11;-3.502160931626955e-13
45;0.03515625;4.486692913002722e-05;-1.733392381768984e-05;-3.536307000710318e-10;-2.013742535685499e-12
46;0.0359375;5.985003915460158e-05;-1.459893487772206e-05;-1.496911136200651e-09;-2.363958628848195e-12
47;0.03671875;6.752753903759487e-05;-7.476093409544167e-06;-3.544274416829769e-09;3.85237702478965e-12
48;0.03750000000000001;6.551546055367603e-05;4.113485886288496e-06;-6.294521396436417e-09;2.171339777608712e-11
49;0.03828125;5.32945892579543e-05;1.912382100951314e-05;-9.325991898852708e-09;9.140640031546352e-11
50;0.0390625;3.22514318890171e-05;3.525212277454556e-05;-1.206284311289588e-08;3.209730493836104e-10
51;0.03984375;5.369091129978186e-06;4.926094826320574e-05;-1.389666213071905e-08;7.962162878053883e-10
52;0.040625;-2.341388401133978e-05;5.784128894932411e-05;-1.451426821101146e-08;1.447968437181165e-09
53;0.04140625000000001;-4.996910647920837e-05;5.851478321419562e-05;-1.401170811732299e-08;2.076081000268459e-09
54;0.0421875;-7.055868629055716e-05;5.021552071120822e-05;-1.250183898567532e-08;2.46727237633119e-09
55;0.04296875;-8.225684238132087e-05;3.357850800724311e-05;-9.790378438386443e-09;2.448360707300404e-09
56;0.04375;-8.334645614110435e-05;1.087094480317319e-05;-5.584808483642214e-09;1.961210121711095e-09
57;0.04453125;-7.357488168030007e-05;-1.45291411880559e-05;2.374465111643075e-10;1.205093576572835e-09
58;0.04531250000000001;-5.417167411893994e-05;-3.88688960376991e-05;7.636637019459157e-09;6.106017584291595e-10
59;0.04609375;-2.768932680458723e-05;-5.864365923431856e-05;1.638678610712911e-08;5.906394411188859e-10
60;0.046875;2.315422180496777e-06;-7.104972103528174e-05;2.583421543628598e-08;1.356211820772538e-09
61;0.04765625;3.179074888466857e-05;-7.432500112505899e-05;3.455021845487256e-08;2.926930998607228e-09
62;0.0484375;5.682424705591983e-05;-6.794389352750536e-05;4.03657317898857e-08;5.142222895907858e-09
63;0.04921875000000001;7.422063611641836e-05;-5.26571339801497e-05;4.105127979225168e-08;7.555036669752249e-09
64;0.05;8.186982120338748e-05;-3.04307198835886e-05;3.431119597128902e-08;9.378611866850404e-09
65;0.05078125;7.890653900006629e-05;-4.239345932971142e-06;1.585550829380129e-08;9.69905959209427e-09
66;0.0515625;6.574725527752888e-05;2.236379721580306e-05;-2.302346862658547e-08;7.802814555664856e-09
67;0.05234375;4.404520765480507e-05;4.581377160842141e-05;-9.652165657219787e-08;3.256484342273324e-09
68;0.05312500000000001;1.654058017738862e-05;6.305580975507229e-05;-2.246193214280841e-07;-4.074764243947962e-09
69;0.05390625;-1.323179710282905e-05;7.192692890967008e-05;-4.338857822100786e-07;-1.363601380338271e-08
70;0.0546875;-4.138596161283202e-05;7.138882363360606e-05;-7.583395417896098e-07;-2.386328681798962e-08
71;0.05546875;-6.422174672091689e-05;6.160700780358941e-05;-1.237797543338577e-06;-3.270063971285708e-08
72;0.05625;-7.873933480538348e-05;4.387784253582746e-05;-1.909870893966096e-06;-3.889850146758059e-08
73;0.05703125000000001;-8.303469508828128e-05;2.044952428065395e-05;-2.793355866500253e-06;-4.354368017326729e-08
74;0.0578125;-7.65405917566871e-05;-5.717024164429554e-06;-3.865083652635802e-06;-5.124615781824103e-08
75;0.05859375;-6.010159998719851e-05;-3.126050604745008e-05;-5.035114907271539e-06;-7.079373172018675e-08
76;0.059375;-3.586468478000217e-05;-5.283448664922615e-05;-6.125989444990408e-06;-1.160131083452142e-07
77;0.06015625;-6.989234991730577e-06;-6.758014053169365e-05;-6.864987952819015e-06;-2.073187339798702e-07
78;0.06093750000000001;2.277052242667802e-05;-7.354075784993861e-05;-6.902459236152935e-06;-3.726394665136467e-07
79;0.06171875;4.954581666000497e-05;-6.992960765637689e-05;-5.866061599711732e-06;-6.458711456313418e-07
80;0.0625;6.985013276813938e-05;-5.722579239566886e-05;-3.449317350653775e-06;-1.062188950406077e-06
81;0.06328125;8.103856859718991e-05;-3.709847480058669e-05;4.797263546303535e-07;-1.64993376796095e-06
82;0.06406250000000001;8.165992601716423e-05;-1.217736824061527e-05;5.774434563257575e-06;-2.418148790699585e-06
83;0.06484375000000001;7.164506063903293e-05;1.429340618293888e-05;1.194247051462298e-05;-3.339401329382478e-06
84;0.065625;5.230664261713778e-05;3.887582164849542e-05;1.814788940731281e-05;-4.330221055473277e-06
