x_phys_m;y_phys_m;z_phys_m;p_peak_Pa
0;-1.8905;-1.8905;0;1.821782625875129e-05
1;-1.8715;-1.8715;0;1.649039150800793e-05
2;-1.8525;-1.8525;0;1.399395493029562e-05
3;-1.8335;-1.8335;0;1.480817820235339e-05
4;-1.8145;-1.8145;0;1.82331679562594e-05
5;-1.7955;-1.7955;0;2.028340594191225e-05
6;-1.7765;-1.7765;0;2.07994107438632e-05
7;-1.7575;-1.7575;0;2.329463290349552e-05
8;-1.7385;-1.7385;0;2.685270685221136e-05
9;-1.7195;-1.7195;0;2.971831025215577e-05
10;-1.7005;-1.7005;0;3.166546347692928e-05
11;-1.6815;-1.6815;0;3.222565746203446e-05
12;-1.6625;-1.6625;0;3.096951392526532e-05
13;-1.6435;-1.6435;0;2.81352974169143e-05
14;-1.6245;-1.6245;0;2.499133782275747e-05
15;-1.6055;-1.6055;0;2.385009591789639e-05
16;-1.5865;-1.5865;0;2.33668837147434e-05
17;-1.5675;-1.5675;0;2.345369120865445e-05
18;-1.5485;-1.5485;0;2.365903849416403e-05
19;-1.5295;-1.5295;0;3.061268086018267e-05
20;-1.5105;-1.5105;0;3.555807933489631e-05
21;-1.4915;-1.4915;0;3.905777509544352e-05
22;-1.4725;-1.4725;0;4.103041643459921e-05
23;-1.4535;-1.4535;0;3.921362798761644e-05
24;-1.4345;-1.4345;0;3.473307188057027e-05
25;-1.4155;-1.4155;0;3.038356075852183e-05
26;-1.3965;-1.3965;0;2.894575021326393e-05
27;-1.3775;-1.3775;0;2.886751592723157e-05
28;-1.3585;-1.3585;0;2.877067397615366e-05
29;-1.3395;-1.3395;0;2.901597744309278e-05
30;-1.3205;-1.3205;0;3.710099001973504e-05
31;-1.3015;-1.3015;0;4.245814488782958e-05
32;-1.2825;-1.2825;0;4.526352280821206e-05
33;-1.2635;-1.2635;0;4.532438005571748e-05
34;-1.2445;-1.2445;0;4.269626627634955e-05
35;-1.2255;-1.2255;0;3.837006696021485e-05
36;-1.2065;-1.2065;0;3.525386331022369e-05
37;-1.1875;-1.1875;0;3.50298693926561e-05
38;-1.1685;-1.1685;0;3.495855167199501e-05
39;-1.1495;-1.1495;0;3.542356985361341e-05
40;-1.1305;-1.1305;0;3.598849772606626e-05
41;-1.1115;-1.1115;0;3.67387735204223e-05
42;-1.0925;-1.0925;0;4.537904761682513e-05
43;-1.0735;-1.0735;0;5.121768081744447e-05
44;-1.0545;-1.0545;0;4.959743978167046e-05
45;-1.0355;-1.0355;0;4.55722190871711e-05
46;-1.0165;-1.0165;0;4.306779889037292e-05
47;-0.9974999999999999;-0.9974999999999999;0;4.31676345816413e-05
48;-0.9784999999999999;-0.9784999999999999;0;4.347352876522257e-05
49;-0.9594999999999999;-0.9594999999999999;0;4.405913158454194e-05
50;-0.9405;-0.9405;0;4.531771873768471e-05
51;-0.9215;-0.9215;0;4.717706604077041e-05
52;-0.9025;-0.9025;0;5.006120723217767e-05
53;-0.8835;-0.8835;0;5.14678650764381e-05
54;-0.8644999999999998;-0.8644999999999998;0;5.259125779128528e-05
55;-0.8454999999999999;-0.8454999999999999;0;5.375283876389098e-05
56;-0.8265;-0.8265;0;5.426067305174911e-05
57;-0.8075000000000001;-0.8075000000000001;0;5.507726462730409e-05
58;-0.7885;-0.7885;0;5.676779612880028e-05
59;-0.7695000000000001;-0.7695000000000001;0;5.808724392763905e-05
60;-0.7504999999999999;-0.7504999999999999;0;5.973234024278703e-05
61;-0.7315;-0.7315;0;6.175742952270107e-05
62;-0.7124999999999999;-0.7124999999999999;0;6.377351194513113e-05
63;-0.6935;-0.6935;0;6.604066255008546e-05
64;-0.6744999999999999;-0.6744999999999999;0;6.938427735117328e-05
65;-0.6555;-0.6555;0;7.087083451274336e-05
66;-0.6364999999999998;-0.6364999999999998;0;7.223759990943107e-05
67;-0.6174999999999999;-0.6174999999999999;0;7.643225845496693e-05
68;-0.5984999999999998;-0.5984999999999998;0;7.886145895472504e-05
