x_phys_m;y_phys_m;z_phys_m;p_rms_Pa
0;-1.8905;-1.8905;0;4.639306050689035e-06
1;-1.8715;-1.8715;0;3.951326132689909e-06
2;-1.8525;-1.8525;0;3.544789954099357e-06
3;-1.8335;-1.8335;0;3.519317567993934e-06
4;-1.8145;-1.8145;0;3.817456008612982e-06
5;-1.7955;-1.7955;0;4.274515608318162e-06
6;-1.7765;-1.7765;0;4.730129903091814e-06
7;-1.7575;-1.7575;0;5.697270786188307e-06
8;-1.7385;-1.7385;0;6.879110146047691e-06
9;-1.7195;-1.7195;0;7.966783209495292e-06
10;-1.7005;-1.7005;0;8.79940564698398e-06
11;-1.6815;-1.6815;0;9.23838193710086e-06
12;-1.6625;-1.6625;0;9.071402040849595e-06
13;-1.6435;-1.6435;0;8.395957547011754e-06
14;-1.6245;-1.6245;0;7.50901778618227e-06
15;-1.6055;-1.6055;0;6.670905393890129e-06
16;-1.5865;-1.5865;0;6.3154321516752e-06
17;-1.5675;-1.5675;0;6.70960538939762e-06
18;-1.5485;-1.5485;0;7.654044415100831e-06
19;-1.5295;-1.5295;0;8.923393696556376e-06
20;-1.5105;-1.5105;0;1.016191980256348e-05
21;-1.4915;-1.4915;0;1.120754904787401e-05
22;-1.4725;-1.4725;0;1.186709578178795e-05
23;-1.4535;-1.4535;0;1.206458070324416e-05
24;-1.4345;-1.4345;0;1.17607725800019e-05
25;-1.4155;-1.4155;0;1.110929993781787e-05
26;-1.3965;-1.3965;0;1.048619818423445e-05
27;-1.3775;-1.3775;0;1.021403232493415e-05
28;-1.3585;-1.3585;0;1.059210020077461e-05
29;-1.3395;-1.3395;0;1.161394468962806e-05
30;-1.3205;-1.3205;0;1.278183865258537e-05
31;-1.3015;-1.3015;0;1.386742427125671e-05
32;-1.2825;-1.2825;0;1.465276424361176e-05
33;-1.2635;-1.2635;0;1.502534758267838e-05
34;-1.2445;-1.2445;0;1.505986688825945e-05
35;-1.2255;-1.2255;0;1.502453569704883e-05
36;-1.2065;-1.2065;0;1.496931645374954e-05
37;-1.1875;-1.1875;0;1.494437473208619e-05
38;-1.1685;-1.1685;0;1.519172272444944e-05
39;-1.1495;-1.1495;0;1.569166335473398e-05
40;-1.1305;-1.1305;0;1.629047608643072e-05
41;-1.1115;-1.1115;0;1.722907744560241e-05
42;-1.0925;-1.0925;0;1.82759971645274e-05
43;-1.0735;-1.0735;0;1.917123663092281e-05
44;-1.0545;-1.0545;0;1.994780995328979e-05
45;-1.0355;-1.0355;0;2.052616627041012e-05
46;-1.0165;-1.0165;0;2.070234462128598e-05
47;-0.9974999999999999;-0.9974999999999999;0;2.092871730240981e-05
48;-0.9784999999999999;-0.9784999999999999;0;2.14514838105534e-05
49;-0.9594999999999999;-0.9594999999999999;0;2.201044550767777e-05
50;-0.9405;-0.9405;0;2.284823137846668e-05
51;-0.9215;-0.9215;0;2.418866243208605e-05
52;-0.9025;-0.9025;0;2.513172990209815e-05
53;-0.8835;-0.8835;0;2.574506514612162e-05
54;-0.8644999999999998;-0.8644999999999998;0;2.656833210909702e-05
55;-0.8454999999999999;-0.8454999999999999;0;2.737882657599351e-05
56;-0.8265;-0.8265;0;2.816529924648717e-05
57;-0.8075000000000001;-0.8075000000000001;0;2.947429290773895e-05
58;-0.7885;-0.7885;0;3.06838311341666e-05
59;-0.7695000000000001;-0.7695000000000001;0;3.141721728635587e-05
60;-0.7504999999999999;-0.7504999999999999;0;3.250598696108198e-05
61;-0.7315;-0.7315;0;3.409917378613381e-05
62;-0.7124999999999999;-0.7124999999999999;0;3.500845373292154e-05
63;-0.6935;-0.6935;0;3.642275027960975e-05
64;-0.6744999999999999;-0.6744999999999999;0;3.845610023980201e-05
65;-0.6555;-0.6555;0;3.990636084194855e-05
66;-0.6364999999999998;-0.6364999999999998;0;4.133892860471817e-05
67;-0.6174999999999999;-0.6174999999999999;0;4.359180818309642e-05
68;-0.5984999999999998;-0.5984999999999998;0;4.497302951535771e-05
69;-0.5795000000000001;-0.5795000000000001;0;4.577294019838844e-05
70;-0.5605;-0.5605;0;4.854738144870603e-05
71;-0.5415000000000001;-0.5415000000000001;0;5.190865431779587e-05
72;-0.5225;-0.5225;0;5.370320243233437e-05
73;-0.5035000000000001;-0.5035000000000001;0;5.764187090650524e-05
74;-0.4844999999999999;-0.4844999999999999;0;5.982309970734176e-05
75;-0.4655;-0.4655;0;6.05942296200873e-05
76;-0.4464999999999999;-0.4464999999999999;0;6.613372177240439e-05
77;-0.4275;-0.4275;0;7.080240583491472e-05
78;-0.4084999999999999;-0.4084999999999999;0;7.161110195744069e-05
79;-0.3895;-0.3895;0;7.641059405882769e-05
