x_phys_m;p_rms_Pa
0;-1.8905;7.694175695176797e-06
1;-1.8715;4.795982070577436e-06
2;-1.8525;9.097638919466124e-06
3;-1.8335;1.476647529557584e-05
4;-1.8145;1.908124614004115e-05
5;-1.7955;2.186684792256166e-05
6;-1.7765;2.260368902873456e-05
7;-1.7575;2.13774814124733e-05
8;-1.7385;1.859445437421517e-05
9;-1.7195;1.472613847646177e-05
10;-1.7005;1.143706894328405e-05
11;-1.6815;1.079730217756858e-05
12;-1.6625;1.334557851907382e-05
13;-1.6435;1.721358414537739e-05
14;-1.6245;2.045198262632566e-05
15;-1.6055;2.266238079130402e-05
16;-1.5865;2.320345340963857e-05
17;-1.5675;2.222344756200175e-05
18;-1.5485;2.022028766062849e-05
19;-1.5295;1.780108007298464e-05
20;-1.5105;1.619801950065887e-05
21;-1.4915;1.640938877176322e-05
22;-1.4725;1.820620751754042e-05
23;-1.4535;2.085456215087947e-05
24;-1.4345;2.318432971898173e-05
25;-1.4155;2.488501788431505e-05
26;-1.3965;2.528179419721904e-05
27;-1.3775;2.462340338325738e-05
28;-1.3585;2.346477867724483e-05
29;-1.3395;2.232999406551306e-05
30;-1.3205;2.199861251148256e-05
31;-1.3015;2.298343909011292e-05
32;-1.2825;2.434926417100996e-05
33;-1.2635;2.595991112653632e-05
34;-1.2445;2.740894739886328e-05
35;-1.2255;2.841569021177242e-05
36;-1.2065;2.884021064902669e-05
37;-1.1875;2.920053339419225e-05
38;-1.1685;2.922062927732502e-05
39;-1.1495;2.933375965455403e-05
40;-1.1305;2.978723928320972e-05
41;-1.1115;3.058683250343944e-05
42;-1.0925;3.134964847208615e-05
43;-1.0735;3.255014927725653e-05
44;-1.0545;3.382427872101873e-05
45;-1.0355;3.50542307206926e-05
46;-1.0165;3.597157029683199e-05
47;-0.9974999999999999;3.702104161758938e-05
48;-0.9784999999999999;3.74689903166922e-05
49;-0.9594999999999999;3.80050343949349e-05
50;-0.9405;3.903209741260002e-05
51;-0.9215;4.017057734011948e-05
52;-0.9025;4.166129530642688e-05
53;-0.8835;4.444889781118624e-05
54;-0.8644999999999998;4.549982579336012e-05
55;-0.8454999999999999;4.527421393295874e-05
