iT;t;p1(xAchse);p2(XAchse);p3(diagonal);p4(diagonal)
0;0;0;0;0;0
1;0.00078125;0;0;0;0
2;0.0015625;0;0;0;0
3;0.00234375;0;0;0;0
4;0.003125;0;0;0;0
5;0.00390625;0;0;0;0
6;0.004687500000000001;0;0;0;0
7;0.005468750000000001;0;0;0;0
8;0.00625;0;0;0;0
9;0.00703125;0;0;0;0
10;0.0078125;0;0;0;0
11;0.008593750000000001;0;0;0;0
12;0.009375000000000001;0;0;0;0
13;0.01015625;0;0;0;0
14;0.0109375;0;0;0;0
15;0.01171875;0;0;0;0
16;0.0125;0;0;0;0
17;0.01328125;0;0;0;0
18;0.0140625;0;0;0;0
19;0.01484375;0;0;0;0
20;0.015625;0;0;0;0
21;0.01640625;0;0;0;0
22;0.0171875;0;0;0;0
23;0.01796875;0;0;0;0
24;0.01875;0;0;0;0
25;0.01953125;0;0;0;0
26;0.0203125;0;0;0;0
27;0.02109375;1.212659602363904e-14;0;1.212659602363904e-14;0
28;0.021875;-3.013459111874302e-12;0;-3.013459111874302e-12;0
29;0.02265625;-2.476857237828274e-11;0;-2.476857237828274e-11;0
30;0.0234375;-9.164068615064024e-11;0;-9.164068615064024e-11;0
31;0.02421875;-1.984093008407702e-10;0;-1.984093008407702e-10;0
32;0.025;-2.35371165520822e-10;0;-2.35371165520822e-10;0
33;0.02578125;1.052103471010923e-10;0;1.052103471010923e-10;0
34;0.0265625;1.401264550319562e-09;0;1.401264550319562e-09;0
35;0.02734375;4.302552648975203e-09;0;4.302552648975203e-09;1.212659602363904e-14
36;0.028125;9.015117636105666e-09;0;9.015117636105666e-09;-2.546585164964199e-13
37;0.02890625;1.514052807275827e-08;0;1.514052807275827e-08;-2.02514153594772e-12
38;0.0296875;2.224831405328586e-08;0;2.224831405328586e-08;-6.663564514989653e-12
39;0.03046875;3.029839717783033e-08;0;3.029839717783033e-08;-1.387888914905488e-11
40;0.03125;3.919689333997666e-08;0;3.919689333997666e-08;-1.768057700246572e-11
41;0.03203125;4.828611660438279e-08;0;4.828611660438279e-08;1.179917793100079e-11
42;0.0328125;5.661053971077005e-08;0;5.661053971077005e-08;1.565301014731328e-10
43;0.03359375;6.318150553852319e-08;0;6.318150553852319e-08;5.409674486145377e-10
44;0.034375;6.622403210106615e-08;-2.425319204727808e-14;6.622403210106615e-08;1.254908662910263e-09
45;0.03515625;6.180016498547046e-08;-1.818989403545856e-13;6.180016498547046e-08;2.282249624840915e-09
46;0.0359375;4.226607416057959e-08;-4.911271389573812e-13;4.226607416057959e-08;3.540177810161064e-09
47;0.03671875;-5.891051841899752e-09;-9.155579997847477e-13;-5.891051841899752e-09;4.993089532945304e-09
48;0.03750000000000001;-1.049296830994232e-07;-1.358178754647573e-12;-1.049296830994232e-07;6.680735774959126e-09
49;0.03828125;-2.889142281977304e-07;8.488617216547328e-13;-2.889142281977304e-07;8.610137835300215e-09
50;0.0390625;-6.05985017803808e-07;1.559480248639981e-11;-6.05985017803808e-07;1.067608536686748e-08
51;0.03984375;-1.1177931689114e-06;6.012366308520237e-11;-1.1177931689114e-06;1.273878297070041e-08
52;0.040625;-1.893861650993737e-06;1.513520449710389e-10;-1.893861650993737e-06;1.471145272565384e-08
53;0.04140625000000001;-2.999880877420461e-06;2.956827908443908e-10;-2.999880877420461e-06;1.650118065299466e-08
54;0.0421875;-4.48052619807034e-06;4.829174334493775e-10;-4.48052619807034e-06;1.793558719024683e-08
55;0.04296875;-6.339372648653806e-06;6.931198489231366e-10;-6.339372648653806e-06;1.879535072172681e-08
56;0.04375;-8.520228214668652e-06;9.173527359962462e-10;-8.520228214668652e-06;1.878927529711897e-08
57;0.04453125;-1.089498184834762e-05;1.169210008811205e-09;-1.089498184834762e-05;1.732928164225692e-08
58;0.04531250000000001;-1.326343694017851e-05;1.465377863496542e-09;-1.326343694017851e-05;1.320753653999418e-08
59;0.04609375;-1.536888616101351e-05;1.799526216927916e-09;-1.536888616101351e-05;4.224699902503441e-09
60;0.046875;-1.692801873408219e-05;2.152143376103292e-09;-1.692801873408219e-05;-1.347859021431456e-08
61;0.04765625;-1.766875355315278e-05;2.517990651540458e-09;-1.766875355315278e-05;-4.663811826806825e-08
62;0.0484375;-1.736776289059586e-05;2.899275083715717e-09;-1.736776289059586e-05;-1.065774207139232e-07
63;0.04921875000000001;-1.587985590352521e-05;3.278085690302153e-09;-1.587985590352521e-05;-2.111413717405715e-07
64;0.05;-1.31537546076288e-05;3.622869068446258e-09;-1.31537546076288e-05;-3.863581090020791e-07
65;0.05078125;-9.232996435457606e-06;3.91915818909183e-09;-9.232996435457606e-06;-6.670033932702305e-07
66;0.0515625;-4.244660885888151e-06;4.165667633060365e-09;-4.244660885888151e-06;-1.095099414669676e-06
67;0.05234375;1.618699813358641e-06;4.33893243704612e-09;1.618699813358641e-06;-1.715529409314816e-06
68;0.05312500000000001;8.117323704937006e-06;4.37755564538141e-09;8.117323704937006e-06;-2.568354526980935e-06
69;0.05390625;1.497776469477685e-05;4.179116028050581e-09;1.497776469477685e-05;-3.678163472310795e-06
70;0.0546875;2.190106014798706e-05;3.562175455347945e-09;2.190106014798706e-05;-5.041812388905478e-06
71;0.05546875;2.85687490759301e-05;2.184957944943259e-09;2.85687490759301e-05;-6.617002127313753e-06
72;0.05625;3.465119745669653e-05;-5.90910834337895e-10;3.465119745669653e-05;-8.314822728910559e-06
73;0.05703125000000001;3.982134369531801e-05;-5.961222389790539e-09;3.982134369531801e-05;-9.999156991398194e-06
74;0.0578125;4.377387294274133e-05;-1.613905624253675e-08;4.377387294274133e-05;-1.149473205562875e-05
75;0.05859375;4.624691183077326e-05;-3.505186517334853e-08;4.624691183077326e-05;-1.260389989208003e-05
76;0.059375;4.70421901870092e-05;-6.92858399512867e-08;4.70421901870092e-05;-1.313000140726217e-05
77;0.06015625;4.603996980828621e-05;-1.292115484829992e-07;4.603996980828621e-05;-1.290307379652707e-05
78;0.06093750000000001;4.320639268068286e-05;-2.300654402157912e-07;4.320639268068286e-05;-1.180278904333439e-05
79;0.06171875;3.859316633073224e-05;-3.926186279083291e-07;3.859316633073224e-05;-9.77427045048292e-06
80;0.0625;3.233184733592982e-05;-6.429943338541003e-07;3.233184733592982e-05;-6.83438371803883e-06
81;0.06328125;2.462590405533168e-05;-1.011154217849253e-06;2.462590405533168e-05;-3.068513445517358e-06
82;0.06406250000000001;1.574245745966133e-05;-1.527591581786206e-06;1.574245745966133e-05;1.379975838062819e-06
83;0.06484375000000001;6.003280323056969e-06;-2.217986087392395e-06;6.003280323056969e-06;6.323975418733121e-06
84;0.065625;-4.226638569283143e-06;-3.096065023176682e-06;-4.226638569283143e-06;1.154673056589672e-05
85;0.06640625;-1.455424161273792e-05;-4.155566827345561e-06;-1.455424161273792e-05;1.68132403268828e-05
