iT;t;p1;p2
0;0;0;0.001000000000000038
1;0.00078125;-5.659007224068091e-05;0.0009983947587670627
2;0.0015625;-0.0001129427618996222;0.0009935857654520912
3;0.00234375;-0.0001689159234269747;0.0009855905130346325
4;0.003125;-0.0002243033356990054;0.0009744363840269443
5;0.00390625;-0.0002789462447149542;0.0009601611212701755
6;0.004687500000000001;-0.0003326567725731404;0.0009428123069028516
7;0.005468750000000001;-0.0003852721272679105;0.000922447477577748
8;0.00625;-0.0004366178471997273;0.0008991337423793766
9;0.00703125;-0.000486534276878577;0.0008729476942998341
10;0.0078125;-0.0005348590542884798;0.0008439750653982022
11;0.008593750000000001;-0.0005814401594245547;0.000812310510141856
12;0.009375000000000001;-0.0006261276851873276;0.0007780572505377373
13;0.01015625;-0.0006687803727108607;0.0007413267703242354
14;0.0109375;-0.0007092618476486715;0.0007022384296249129
15;0.01171875;-0.0007474439822085325;0.000660919091610405
16;0.0125;-0.0007832052647055813;0.0006175026994839072
17;0.01328125;-0.000816432600501571;0.0005721298489949808
18;0.0140625;-0.0008470206849295892;0.0005249473274110036
19;0.01484375;-0.0008748730204312475;0.0004761076416504769
20;0.015625;-0.0008999017445863918;0.0004257685223147216
21;0.01640625;-0.000922028237423452;0.0003740924156166632
22;0.0171875;-0.0009411831377950838;0.0003212459575744712
23;0.01796875;-0.0009573067202524044;0.0002673994372581016
24;0.01875;-0.0009703489696448742;0.0002127262472839675
25;0.01953125;-0.0009802698132498715;0.0001574023257925698
26;0.0203125;-0.000987039189830341;0.0001016055900417238
27;0.02109375;-0.0009906371778403884;4.551536456176564e-05
28;0.021875;-0.0009910540277455009;-1.068819507802724e-05
29;0.02265625;-0.0009882902058701386;-6.682468048069268e-05
30;0.0234375;-0.0009823563749407072;-0.0001227140091420627
31;0.02421875;-0.0009732733633190568;-0.0001781770015583106
32;0.025;-0.0009610720869162037;-0.0002330359550886859
33;0.02578125;-0.0009457934491787038;-0.000287115212569707
34;0.0265625;-0.0009274882019999117;-0.0003402417240157736
35;0.02734375;-0.0009062167801516807;-0.0003922455995256276
36;0.028125;-0.0008820491013376378;-0.0004429606516751505
37;0.02890625;-0.0008550643383860764;-0.0004922249256651412
38;0.0296875;-0.0008253506601931804;-0.0005398812155708773
39;0.03046875;-0.0007930049451279805;-0.0005857775650355279
40;0.03125;-0.0007581324658379648;-0.000629767750832381
