iT;t;p1;p2
0;0;-0.0005877852522928606;-0.0009510565162950494
1;0.00078125;-0.0005692974835085352;-0.0009438083650294971
2;0.0015625;-0.0005505199899407861;-0.0009360762921393947
3;0.00234375;-0.0005314604502094274;-0.0009278635554158162
4;0.003125;-0.0005121300695236641;-0.0009191749448665595
5;0.00390625;-0.0004925378407539446;-0.0009100146010420455
6;0.004687500000000001;-0.0004726945242126135;-0.0009003875274065839
7;0.005468750000000001;-0.0004526098730461096;-0.0008902985351753046
8;0.00625;-0.0004322945526809008;-0.0008797529723594266
9;0.00703125;-0.0004117587978858713;-0.000868756212616025
10;0.0078125;-0.0003910133369942059;-0.000857314005784815
11;0.008593750000000001;-0.0003700687404091241;-0.0008454322293663571
12;0.009375000000000001;-0.0003489358641341293;-0.0008331170561580356
13;0.01015625;-0.0003276255321604064;-0.0008203748324599284
14;0.0109375;-0.0003061487477514409;-0.0008072121572174259
15;0.01171875;-0.0002845165370715108;-0.0007936358213527228
16;0.0125;-0.0002627400482803448;-0.0007796528440782898
17;0.01328125;-0.0002408304730015705;-0.0007652704415998338
18;0.0140625;-0.0002187990911366455;-0.000750496042629815
19;0.01484375;-0.0001966572299281211;-0.0007353372711994174
20;0.015625;-0.0001744162825640198;-0.000719801952008936
21;0.01640625;-0.0001520876853480976;-0.0007038980999709565
22;0.0171875;-0.000129682923606822;-0.0006876339205372043
23;0.01796875;-0.0001072135175945732;-0.0006710178023823232
24;0.01875;-8.469102226390153e-05;-0.0006540583152319831
25;0.01953125;-6.21270173652988e-05;-0.0006367642039511642
26;0.0203125;-3.953310425449293e-05;-0.0006191443850956565
27;0.02109375;-1.692089801489753e-05;-0.0006012079415972001
28;0.021875;5.697977201180038e-06;-0.0005829641185831255
29;0.02265625;2.831189506006619e-05;-0.0005644223182793932
30;0.0234375;5.090923238526557e-05;-0.0005455920954086461
31;0.02421875;7.347837557366195e-05;-0.0005264831521098282
32;0.025;9.600772626091232e-05;-0.0005071053330614935
33;0.02578125;0.0001184857074984317;-0.0004874686203208967
34;0.0265625;0.0001409007695514219;-0.0004675831282744032
35;0.02734375;0.0001632413959479588;-0.0004474590983676308
36;0.028125;0.0001854961093196531;-0.0004271068938805911
37;0.02890625;0.0002076534773796842;-0.0004065369945607245
38;0.0296875;0.0002297021187255647;-0.0003857599912677756
39;0.03046875;0.0002516307087413831;-0.0003647865804978778
40;0.03125;0.0002734279853863579;-0.000343627558898163
41;0.03203125;0.0002950827550023405;-0.000322293817698475
42;0.0328125;0.0003165838980739484;-0.0003007963371193985
43;0.03359375;0.0003379203749460657;-0.0002791461807187072
44;0.034375;0.0003590812314608153;-0.0002573544896951792
45;0.03515625;0.00038005560462769;-0.0002354324771687288
46;0.0359375;0.0004008327281989447;-0.0002133914224131672
47;0.03671875;0.0004214019382213034;-0.0001912426650415947
48;0.03750000000000001;0.0004417526784881905;-0.000168997599172845
49;0.03828125;0.0004618745059635406;-0.0001466676675789813
50;0.0390625;0.0004817570961629751;-0.0001242643558067395
51;0.03984375;0.000501390248468662;-0.0001017991862516017
52;0.040625;0.0005207638913541738;-7.928371224371251e-05
53;0.04140625000000001;0.0005398680875619751;-5.672951209589883e-05
54;0.0421875;0.0005586930392240674;-3.414818314695367e-05
55;0.04296875;0.000577229092883158;-1.155133580255097e-05
56;0.04375;0.0005954667444664589;1.104941243568192e-05
57;0.04453125;0.0006133966441363251;3.364244295767094e-05
58;0.04531250000000001;0.0006310096011314196;5.621614201819133e-05
