iT;t;p1;p2
0;0;-0.0005877852522928606;-0.0009510565163092602
1;0.00078125;-0.0005505346069867301;-0.0009360816142987005
2;0.0015625;-0.0005121532160027679;-0.0009191832705160626
3;0.00234375;-0.0004727192915083833;-0.0009003959700161582
4;0.003125;-0.0004323145406506986;-0.0008797585874636601
5;0.00390625;-0.0003910213451092659;-0.0008573132950099686
6;0.004687500000000001;-0.000348925220653958;-0.0008331064789028156
7;0.005468750000000001;-0.0003061120360807005;-0.0008071876499779288
8;0.00625;-0.0002626704189386449;-0.0007796103272899776
9;0.00703125;-0.0002186890144741938;-0.0007504309516548346
10;0.0078125;-0.0001742588394790801;-0.000719709737438734
11;0.008593750000000001;-0.0001294705818584892;-0.000687509589729037
12;0.009375000000000001;-8.441690525273771e-05;-0.0006538969258637432
13;0.01015625;-3.918978998740386e-05;-0.0006189405966191922
14;0.0109375;6.117209409239877e-06;-0.0005827126786452178
15;0.01171875;5.141158116354442e-05;-0.0005452874009203393
16;0.0125;9.659964342745297e-05;-0.0005067419094946976
17;0.01328125;0.0001415891182811417;-0.0004671551998948568
18;0.0140625;0.0001862869612712833;-0.0004266088558229815
19;0.01484375;0.0002306018915684641;-0.0003851859885818006
20;0.015625;0.0002744422615895322;-0.0003429719512837437
21;0.01640625;0.0003177185427603035;-0.0003000532862624065
22;0.0171875;0.0003603412327114104;-0.0002565184166201107
23;0.01796875;0.0004022232957557511;-0.000212456603018533
24;0.01875;0.0004432781055735783;-0.0001679586140710398
25;0.01953125;0.0004834218394573024;-0.0001231156935451357
26;0.0203125;0.0005225714542689275;-7.802021153224814e-05
27;0.02109375;0.0005606470339406163;-3.276464333149912e-05
28;0.021875;0.0005975697966202157;1.255779693565273e-05
29;0.02265625;0.000633264394480193;5.785416508767108e-05
30;0.0234375;0.0006676569497396182;0.0001030311727087489
31;0.02421875;0.0007006773064783071;0.0001479961963658146
32;0.025;0.0007322570939436446;0.0001926567252326095
33;0.02578125;0.0007623319294604395;0.0002369214836714188
34;0.0265625;0.000790839506824644;0.0002807001739787059
35;0.02734375;0.0008177217501383893;0.000323905072643053
36;0.028125;0.0008429229255474032;0.0003664513733951935
37;0.02890625;0.0008663917454138451;0.000408258947932912
38;0.0296875;0.0008880795021468657;0.0004492513938885168
39;0.03046875;0.0009079421223721814;0.0004893536202719891
40;0.03125;0.0009259383210367863;0.0005284834494053333
41;0.03203125;0.0009420316058594835;0.000566540974716645
42;0.0328125;0.0009561884520318623;0.0006033982911996342
43;0.03359375;0.0009683802619520065;0.0006389032284156807
44;0.034375;0.0009785815725156983;0.0006729053404418058
45;0.03515625;0.0009867720016624542;0.0007053079742528704
46;0.0359375;0.0009929345532289819;0.0007361233228759071
47;0.03671875;0.000997057664960721;0.0007654916825951356
48;0.03750000000000001;0.0009991337612215527;0.0007936202693485939
49;0.03828125;0.0009991615089575134;0.0008206405278580556
50;0.0390625;0.0009971444730467738;0.000846445490841082
51;0.03984375;0.0009930928456469701;0.0008706279206383746
52;0.040625;0.0009870205364753322;0.0008926141317147085
53;0.04140625000000001;0.0009789438089455871;0.0009119754685495233
54;0.0421875;0.000968874312832213;0.0009287364426313616
55;0.04296875;0.0009568145411738745;0.0009434339521590118
56;0.04375;0.0009427523607807112;0.0009567988192884513
57;0.04453125;0.0009266666331010734;0.0009692155808238567
58;0.04531250000000001;0.0009085420297575789;0.0009803486843035596
59;0.04609375;0.0008883993360579249;0.0009892884374380628
60;0.046875;0.0008663248947110939;0.0009951973051443019
61;0.04765625;0.0008424860341544141;0.000997995143601808
62;0.0484375;0.0008171044745684716;0.0009984898492424084
63;0.04921875000000001;0.0007903862040166132;0.000997756025981289
64;0.05;0.0007624230552210065;0.0009962137097545565
65;0.05078125;0.0007331250022654482;0.0009932091275004495
66;0.0515625;0.0007022381151576459;0.0009875387716723101
67;0.05234375;0.0006694805075350511;0.0009785282316177775
68;0.05312500000000001;0.0006347433145492687;0.0009666986938441369
69;0.05390625;0.0005982454076350526;0.0009533506882159296
70;0.0546875;0.0005605100866243143;0.0009393780651976158
71;0.05546875;0.0005221314604568761;0.0009244139260052483
72;0.05625;0.0004834365525046754;0.0009071707270512283
73;0.05703125000000001;0.000444272207744234;0.000886712829355929
74;0.0578125;0.0004041004033676169;0.0008634361787092834
75;0.05859375;0.0003623993505546726;0.0008387488800470541
76;0.059375;0.0003191130072650594;0.0008137128320981901
77;0.06015625;0.0002748083293226955;0.0007879987388150766
78;0.06093750000000001;0.000230362295856897;0.0007602500603904142
79;0.06171875;0.0001863679832278346;0.0007295324406868531
80;0.0625;0.0001427062988644442;0.0006963813112292883
81;0.06328125;9.866692308454124e-05;0.0006623258622274383
82;0.06406250000000001;5.357479146065695e-05;0.0006283475457280474
83;0.06484375000000001;7.441779606172834e-06;0.0005938969669993336
84;0.065625;-3.892630979862588e-05;0.0005575431281575524
85;0.06640625;-8.450789864392998e-05;0.0005185925310987235
86;0.0671875;-0.0001288756153220068;0.0004779327692858715
87;0.06796875000000001;-0.0001725207340920557;0.0004371604716387386
88;0.06875000000000001;-0.0002163639287668199;0.0003969191391585506
89;0.06953125;-0.0002608439737722771;0.0003562739221365518
90;0.0703125;-0.0003054114565562334;0.0003138344465961988
91;0.07109375;-0.0003489251431005869;0.0002693995332568496
92;0.07187500000000001;-0.0003906290106291029;0.0002242846258771654
93;0.07265625000000001;-0.0004307993881885371;0.0001799471818155022
94;0.0734375;-0.0004704234515694831;0.0001364426505953512
95;0.07421875;-0.0005101744796528843;9.246283254545536e-05
96;0.07500000000000001;-0.0005496653599455689;4.692698485087021e-05
97;0.07578125000000001;-0.0005877282879775217;3.216838801260262e-07
98;0.07656250000000001;-0.0006234842346752126;-4.575094290733735e-05
99;0.07734375;-0.0006571514305070044;-9.030860547909469e-05
100;0.078125;-0.0006897689930648691;-0.0001340142001140521
101;0.07890625000000001;-0.0007220798918676034;-0.0001782987792087928
102;0.07968750000000001;-0.0007536977281669502;-0.0002235926518020885
103;0.08046875000000001;-0.0007834219282756294;-0.0002687199555566622
104;0.08125;-0.0008104075806632712;-0.0003121694487902005
105;0.08203125;-0.0008349864410016986;-0.0003537582538986802
106;0.08281250000000001;-0.0008582726724265891;-0.0003947376808071112
107;0.08359375000000001;-0.000880940073519317;-0.0004362125984490224
108;0.08437500000000001;-0.0009024541432154365;-0.0004777380830110663
109;0.08515625;-0.00092158300558746;-0.0005177521171428149
110;0.0859375;-0.0009376659418857495;-0.0005553336795003361
111;0.08671875000000001;-0.0009512845546832219;-0.0005911970095079747
112;0.08750000000000001;-0.0009636052350951255;-0.0006267400947971661
113;0.08828125000000001;-0.0009750842949642902;-0.0006622830881989709
114;0.0890625;-0.0009849410748946259;-0.0006966044300137734
115;0.08984375;-0.000991982223932079;-0.0007283272791767104
116;0.09062500000000001;-0.0009958906301316499;-0.0007574903730945456
117;0.09140625000000001;-0.0009975603632976042;-0.0007854137304548203
118;0.09218750000000001;-0.0009981003260861598;-0.0008130265533168313
119;0.09296875;-0.0009975977163397449;-0.0008396780414917279
120;0.09375;-0.000995019648030393;-0.0008638677024161249
121;0.09453125000000001;-0.0009893691280259038;-0.0008850036334043428
122;0.09531250000000001;-0.0009808108014321231;-0.0009040544464274566
123;0.09609375000000001;-0.0009704971866237125;-0.0009223068796870848
124;0.096875;-0.0009592863208922608;-0.000939749103347746
125;0.09765625;-0.0009467934012074389;-0.0009550494265416395
126;0.09843750000000001;-0.0009318569232732443;-0.0009671498170765366
127;0.09921875000000001;-0.0009138922957561135;-0.000976519146197082
128;0.1;-0.0008935940441100835;-0.0009845362557238484
129;0.10078125;-0.0008721783687614485;-0.0009917676026134359
130;0.1015625;-0.00085003317455327;-0.0009972585936566247
131;0.10234375;-0.000826324078474272;-0.0009997019284450441
132;0.103125;-0.0008000148460212131;-0.0009990364519770385
133;0.10390625;-0.0007711228108178148;-0.0009965052161173087
134;0.1046875;-0.0007407577712873111;-0.0009931118534704335
135;0.10546875;-0.0007098957239198475;-0.0009883890197670553
136;0.10625;-0.000678315660328129;-0.0009809986488752049
137;0.10703125;-0.000644936520899364;-0.0009704085651094374
138;0.1078125;-0.0006091624665790126;-0.0009575637130391593
139;0.10859375;-0.0005716586374925706;-0.0009437266241529111
140;0.109375;-0.0005336500319401694;-0.0009289392003969018
141;0.11015625;-0.0004955668062696835;-0.0009120173386728917
142;0.1109375;-0.0004566340544916632;-0.0008920743570873432
143;0.11171875;-0.0004158859632923395;-0.0008696658009625935
144;0.1125;-0.0003734050022880335;-0.0008461339708958349
145;0.11328125;-0.0003303163489647432;-0.0008219821818613582
146;0.1140625;-0.0002875491956331189;-0.0007963148346637657
147;0.11484375;-0.0002448373572766134;-0.0007680328020095809
148;0.115625;-0.0002011493587967076;-0.0007372769567458212
149;0.11640625;-0.0001560286319962264;-0.0007053118446170478
150;0.1171875;-0.0001102429825058001;-0.0006730086986503162
151;0.11796875;-6.496726772790377e-05;-0.0006398386614231791
152;0.11875;-2.04851101462585e-05;-0.0006046343836014026
153;0.11953125;2.403415288654287e-05;-0.000567148520929095
154;0.1203125;6.94183011281287e-05;-0.0005284463087870487
155;0.12109375;0.0001153860272135413;-0.0004896483474112756
156;0.121875;0.0001607817062563299;-0.000450619243916132
157;0.12265625;0.0002048638883707099;-0.0004102514447576293
158;0.1234375;0.0002480853696056329;-0.0003679730878332066
159;0.12421875;0.000291426701267028;-0.0003245683135351858
160;0.125;0.0003350956306083693;-0.0002812826874958319
161;0.12578125;0.0003781737339447015;-0.0002383570478154221
162;0.1265625;0.0004196320850458808;-0.0001948461585357109
163;0.12734375;0.0004594766717976502;-0.0001499383417922218
164;0.128125;0.000498628513090201;-0.0001040946837823261
