iT;t;p1;p2
0;0;-0.0005877852522947554;-0.0009510565162963756
1;0.00078125;-0.0005580706710679805;-0.0009392288387001219
2;0.0015625;-0.0005276270550833335;-0.000926167671392856
3;0.00234375;-0.0004964901127762762;-0.0009118886300166194
4;0.003125;-0.0004647046852369385;-0.0008964120620718554
5;0.00390625;-0.0004323093188456065;-0.0008797571678708965
6;0.004687500000000001;-0.000399349564898633;-0.000861947058935281
7;0.005468750000000001;-0.0003658663222813629;-0.0008430043111911799
8;0.00625;-0.0003319058582079984;-0.0008229547715988397
9;0.00703125;-0.0002975109956059895;-0.0008018241913850942
10;0.0078125;-0.0002627286592723976;-0.000779641087137861
11;0.008593750000000001;-0.0002276032098719345;-0.0007564341882486283
12;0.009375000000000001;-0.0001921821226278552;-0.0007322345838110776
13;0.01015625;-0.0001565109411058074;-0.0007070737837481525
14;0.0109375;-0.0001206375466608733;-0.0006809853259437658
15;0.01171875;-8.46083344974128e-05;-0.0006540032998297344
16;0.0125;-4.847141969245664e-05;-0.0006261635456879351
17;0.01328125;-1.22737358166584e-05;-0.0005975025265858372
18;0.0140625;2.393656139853798e-05;-0.000568058219262942
19;0.01484375;6.011229908229627e-05;-0.0005378692484919156
20;0.015625;9.620548889264076e-05;-0.0005069755447160181
21;0.01640625;0.000132169006234714;-0.0004754176759524852
22;0.0171875;0.0001679552483255975;-0.0004432373291092516
23;0.01796875;0.0002035174164605753;-0.0004104767905785896
24;0.01875;0.0002388085180791677;-0.0003771792940703259
25;0.01953125;0.0002737823489466488;-0.0003433886131824692
26;0.0203125;0.0003083927544018176;-0.0003091493082623249
27;0.02109375;0.0003425943845892712;-0.000274506403208458
28;0.021875;0.0003763421507755993;-0.000239505555988823
29;0.02265625;0.0004095918088326774;-0.0002041927989679
30;0.0234375;0.0004422995620552683;-0.0001686146516294684
31;0.02421875;0.0004744225142349023;-0.0001328179088159231
32;0.025;0.0005059183825505897;-9.684970996507521e-05
33;0.02578125;0.0005367458515805385;-6.075736337152193e-05
34;0.0265625;0.0005668643683869353;-2.45883826513212e-05
35;0.02734375;0.0005962344210517282;1.160966156021459e-05
36;0.028125;0.0006248173949279589;4.7789129857847e-05
37;0.02890625;0.0006525757933801893;8.390244220208841e-05
38;0.0296875;0.0006794731393893015;0.0001199020867231108
39;0.03046875;0.0007054741518004447;0.0001557407389797542
