iT;t;p1;p2
0;0;0.000951056516302439;0.0009048270524848096
1;0.00078125;0.0008967273133748676;0.0009564857711666262
2;0.0015625;0.0008236557840912912;0.000988073758392905
3;0.00234375;0.0007333480605060077;0.0009989799873922794
4;0.003125;0.000627731707888112;0.0009889421303523702
5;0.00390625;0.0005089951889628233;0.0009582183246675412
6;0.004687500000000001;0.0003796578270945852;0.0009074208621071495
7;0.005468750000000001;0.0002424049884333119;0.0008376584455254487
8;0.00625;0.000100139880766316;0.0007503628714766818
9;0.00703125;-4.418172521885328e-05;0.0006474037016353879
10;0.0078125;-0.0001875125831914677;0.0005309091052913572
11;0.008593750000000001;-0.0003268751890330653;0.0004033562433323822
12;0.009375000000000001;-0.0004593300544850838;0.0002673888171072273
13;0.01015625;-0.0005821280643916301;0.0001258876213008383
14;0.0109375;-0.0006926802446105283;-1.821154968638438e-05
15;0.01171875;-0.0007886966237371476;-0.0001618618796298203
16;0.0125;-0.0008681522448508377;-0.0003020828738469087
17;0.01328125;-0.000929408484638164;-0.0004359131147793959
18;0.0140625;-0.0009711708990895809;-0.0005605781386596693
19;0.01484375;-0.0009925899108202429;-0.000673446184033916
20;0.015625;-0.0009932072468412417;-0.0007721819531434447
21;0.01640625;-0.0009730341536245151;-0.0008546997300436486
22;0.0171875;-0.0009324845902544135;-0.0009192981066250164
23;0.01796875;-0.0008724305582776043;-0.0009646038118565531
24;0.01875;-0.0007941217185725689;-0.0009896809765389963
25;0.01953125;-0.0006992188282553494;-0.0009939605642769794
26;0.0203125;-0.000589700678368293;-0.0009773298049064274
27;0.02109375;-0.0004678773355893402;-0.0009400718240552425
28;0.021875;-0.0003362854335136944;-0.0008829799107479628
29;0.02265625;-0.0001976830718922428;-0.0008073403919600725
30;0.0234375;-5.493722499522845e-05;-0.0007150305888353613
31;0.02421875;8.898828134988433e-05;-0.0006083715177859024
32;0.025;0.0002311301026202272;-0.0004899448112701065
33;0.02578125;0.0003685102467716205;-0.0003621602333441842
34;0.0265625;0.0004981927554278323;-0.0002270368920774975
35;0.02734375;0.000617261480365414;-8.623860194347797e-05
36;0.028125;0.000722937866084976;5.828470180858857e-05
37;0.02890625;0.0008127195713556526;0.0002035651745003027
38;0.0296875;0.0008846863066719378;0.0003452228439952401
39;0.03046875;0.0009377062606411829;0.0004781781078296868
40;0.03125;0.0009715013486371996;0.0005981338267156388
41;0.03203125;0.0009862884303826528;0.0007030292186148774
42;0.0328125;0.0009822145002059792;0.0007930455480527597
43;0.03359375;0.0009588172512303571;0.0008689991454108772
44;0.034375;0.0009151107145589775;0.000930083923449274
45;0.03515625;0.0008503652991203125;0.0009730663425580132
46;0.0359375;0.0007653089179560386;0.0009937977210696164
47;0.03671875;0.0006627671707246917;0.0009901346149369297
48;0.03750000000000001;0.0005471327191238135;0.0009635929822979959
49;0.03828125;0.0004226906007291593;0.00091816580214072
50;0.0390625;0.0002920324766212919;0.0008570673042171013
51;0.03984375;0.0001558101226207024;0.0007805105090665164
52;0.040625;1.430168694544894e-05;0.0006866466539213432
53;0.04140625000000001;-0.0001304624013816161;0.0005749831903570641
54;0.0421875;-0.0002738229727644163;0.0004488282720558345
55;0.04296875;-0.0004099224466335726;0.0003142916875367518
56;0.04375;-0.0005343294557193681;0.0001766175638476852
57;0.04453125;-0.0006456317477325985;3.76071965729352e-05
58;0.04531250000000001;-0.0007444136349416413;-0.0001032942128949798
59;0.04609375;-0.0008305491686769527;-0.0002453167178706887
60;0.046875;-0.0009013295289817808;-0.00038410996508901
61;0.04765625;-0.0009523892745831592;-0.0005133308119790549
62;0.0484375;-0.0009806039176085807;-0.0006285151872968223
63;0.04921875000000001;-0.0009862087675962053;-0.0007290313296592404
64;0.05;-0.0009719561163850204;-0.0008161085685909103
65;0.05078125;-0.0009401652976036226;-0.0008891173643739117
66;0.0515625;-0.0008906157879634216;-0.0009443328952814528
67;0.05234375;-0.0008215111966273979;-0.0009775188593872978
68;0.05312500000000001;-0.0007324801133897078;-0.0009874922843300736
69;0.05390625;-0.0006264886993691713;-0.0009766252646659266
70;0.0546875;-0.0005085673767704671;-0.00094782819263249
71;0.05546875;-0.0003827047311885204;-0.0009014460585603954
72;0.05625;-0.000250160775273495;-0.0008356458017806289
73;0.05703125000000001;-0.0001109925797209144;-0.000749726192007074
74;0.0578125;3.297847089318869e-05;-0.0006465128846563554
75;0.05859375;0.0001770414984396969;-0.0005310218995145987
76;0.059375;0.0003156248902087099;-0.0004070174231552906
77;0.06015625;0.0004452404683979693;-0.0002754160921419194
78;0.06093750000000001;0.0005651625395694281;-0.000136331688069428
79;0.06171875;0.0006751591573993208;7.818029456151028e-06
80;0.0625;0.0007729521586831348;0.000151841365780759
81;0.06328125;0.0008542982497116705;0.0002905273863386052
82;0.06406250000000001;0.000915627285382167;0.0004213321586333525
83;0.06484375000000001;0.0009562209204401975;0.0005439291042663777
84;0.065625;0.0009775252570398151;0.0006572847656692222
85;0.06640625;0.0009804530332621652;0.0007579007553673969
86;0.0671875;0.0009638522411599598;0.0008413150683433437
87;0.06796875000000001;0.0009258635241227844;0.0009050594763054201
88;0.06875000000000001;0.0008665508209378457;0.0009495167947898152
89;0.06953125;0.0007887025631013481;0.0009757830583354613
90;0.0703125;0.0006959195533515109;0.0009832031602369775
91;0.07109375;0.0005902383626380469;0.0009696021850201455
92;0.07187500000000001;0.0004720530172926373;0.0009338377071253488
93;0.07265625000000001;0.0003422997228335589;0.0008775404129604186
94;0.0734375;0.0002042401937554435;0.0008039337787583159
95;0.07421875;6.268269668604868e-05;0.000715260692910912
96;0.07500000000000001;-7.841812213882803e-05;0.0006119379891606513
97;0.07578125000000001;-0.0002171834606754903;0.0004943895251684201
98;0.07656250000000001;-0.0003525012930913362;0.0003651690946814293
99;0.07734375;-0.0004819014277745736;0.000228736343269702
100;0.078125;-0.0006012251625603917;8.915991881319009e-05
101;0.07890625000000001;-0.0007065089394018286;-5.142254107340704e-05
102;0.07968750000000001;-0.0007958180104712179;-0.0001918150998244527
103;0.08046875000000001;-0.0008689105520898009;-0.0003296048411963662
104;0.08125;-0.0009252471623282568;-0.0004606158733076881
105;0.08203125;-0.0009628452461523312;-0.0005806509858666685
106;0.08281250000000001;-0.0009793558667297473;-0.0006873823935893596
107;0.08359375000000001;-0.0009740313815806681;-0.0007801109567662932
108;0.08437500000000001;-0.0009481895773690968;-0.0008578432591214852
109;0.08515625;-0.000903680446645012;-0.0009181666781660168
110;0.0859375;-0.0008412661788315744;-0.0009583465713027786
111;0.08671875000000001;-0.0007608756040766212;-0.0009772363068623233
112;0.08750000000000001;-0.0006633286264695925;-0.000975645969180429
113;0.08828125000000001;-0.0005513587640598416;-0.000954777929849418
114;0.0890625;-0.0004286625978905552;-0.0009147624994996778
115;0.08984375;-0.0002981583602862277;-0.0008550989627838134
116;0.09062500000000001;-0.0001615400721251111;-0.0007763816720398608
117;0.09140625000000001;-2.056900382740423e-05;-0.0006810828406984607
118;0.09218750000000001;0.0001216141610348131;-0.0005724272115185157
119;0.09296875;0.0002608306926170674;-0.0004527809241699287
120;0.09375;0.0003934628334536682;-0.0003235408444015775
121;0.09453125000000001;0.0005173721067937246;-0.0001865401088677269
122;0.09531250000000001;0.0006311116930252562;-4.50990377915635e-05
123;0.09609375000000001;0.0007325272856299608;9.66585132603844e-05
124;0.096875;0.0008185626218619289;0.0002353697066913203
125;0.09765625;0.0008865214211982674;0.0003689682253752834
126;0.09843750000000001;0.0009352345195657106;0.0004956272134829001
127;0.09921875000000001;0.0009647340929950586;0.0006125774402850462
128;0.1;0.0009749318260583094;0.0007163555617444216
129;0.10078125;0.0009649938885316562;0.0008041916820608699
130;0.1015625;0.0009341812123117657;0.0008748057286720722
131;0.10234375;0.000883060547930654;0.0009276942549816641
132;0.103125;0.0008135678255833528;0.0009619038588425608
133;0.10390625;0.000727865681304441;0.0009758989803958682
134;0.1046875;0.0006274348837420499;0.0009686725147184914
135;0.10546875;0.0005134798184250636;0.0009406745055457576
136;0.10625;0.0003880520158175689;0.0008933956714948482
137;0.10703125;0.0002544076585036237;0.000828182228578953
138;0.1078125;0.0001161229672046223;0.0007457877753768115
139;0.10859375;-2.395406586098639e-05;0.0006471787026384844
140;0.109375;-0.0001636697599315084;0.0005344867090752813
141;0.11015625;-0.0003006084534717956;0.0004108560404953701
142;0.1109375;-0.0004315162593896578;0.0002793622644579348
143;0.11171875;-0.0005528898393580068;0.0001423488731476633
144;0.1125;-0.0006620210204224956;1.934952985417718e-06
145;0.11328125;-0.0007572446440462954;-0.000139062597930509
146;0.1140625;-0.0008371712246783619;-0.0002770561290769061
147;0.11484375;-0.0008999655509493701;-0.0004085975167011686
148;0.115625;-0.0009436236690332103;-0.000531159171271914
149;0.11640625;-0.0009669082581482749;-0.0006428711618597542
