iT;t;p1;p2
0;0;0.0005406408174509153;-0.0009096319953536564
1;0.00078125;0.0006701799953807193;-0.0009649191339919271
2;0.0015625;0.0007812597853935535;-0.0009939954769130584
3;0.00234375;0.0008712555768240985;-0.0009962873480021735
4;0.003125;0.0009374588589194228;-0.0009716179808881575
5;0.00390625;0.0009783971555449927;-0.0009208315838836937
6;0.004687500000000001;0.000992752413480644;-0.0008452123922817301
7;0.005468750000000001;0.0009804017606655194;-0.0007469493247043836
8;0.00625;0.0009415161490310172;-0.0006286266846889066
9;0.00703125;0.0008773661131576509;-0.0004935570636299985
10;0.0078125;0.0007895576330741506;-0.0003453288740088069
11;0.008593750000000001;0.0006806421694509281;-0.0001880342833753598
12;0.009375000000000001;0.0005534590752067892;-2.586609188533118e-05
13;0.01015625;0.0004115858826871546;0.0001367333586911742
14;0.0109375;0.0002587669841316963;0.0002954279109987257
15;0.01171875;9.923766346514701e-05;0.0004458930448607775
16;0.0125;-6.277292006257146e-05;0.0005841225002253744
17;0.01328125;-0.0002228127707192435;0.0007063654697363499
18;0.0140625;-0.0003766355649774793;0.000809380637844469
19;0.01484375;-0.0005200381857733343;0.0008903854461299959
20;0.015625;-0.0006492224832629525;0.0009472540413638196
21;0.01640625;-0.0007606739360072316;0.0009784627964459719
22;0.0171875;-0.0008514564060295279;0.0009832301240759096
23;0.01796875;-0.0009191104812276465;0.0009614470016141708
24;0.01875;-0.000961880742315194;0.0009137591816676979
25;0.01953125;-0.0009786169347595936;0.0008414764423232755
26;0.0203125;-0.000968934507398459;0.00074660095229541
27;0.02109375;-0.0009331068461493065;0.0006317139548705562
28;0.021875;-0.0008721621463447456;0.0004999574248490378
29;0.02265625;-0.00078776022797801;0.0003549014742551683
30;0.0234375;-0.0006822317058608621;0.0002004894885413447
31;0.02421875;-0.0005584380456362479;4.089332239443536e-05
32;0.025;-0.0004197620169182703;-0.0001195655831997885
33;0.02578125;-0.0002699542617787196;-0.0002765634572156297
34;0.0265625;-0.0001130866934787745;-0.000425863260120147
35;0.02734375;4.6607426006994e-05;-0.0005634530942000036
36;0.028125;0.0002048035530130241;-0.000685631205534482
37;0.02890625;0.000357242741304394;-0.0007891238337680321
38;0.0296875;0.0004998107218816634;-0.0008711529764417914
39;0.03046875;0.0006286810519426726;-0.0009295244121551636
40;0.03125;0.0007403891336578569;-0.00096267104606075
41;0.03203125;0.0008319512448687375;-0.0009697111945614058
42;0.0328125;0.0009009210734852874;-0.0009504717115775944
43;0.03359375;0.0009454759065155191;-0.0009055227309631257
44;0.034375;0.0009644460521877708;-0.0008361756955966267
45;0.03515625;0.0009573622673276976;-0.0007444680112870222
46;0.0359375;0.0009244521113618818;-0.0006330814418994653
47;0.03671875;0.0008666462943966749;-0.0005052134991940676
48;0.03750000000000001;0.0007855402054983567;-0.000364387653001148
49;0.03828125;0.0006833608781950712;-0.0002142743458819197
50;0.0390625;0.0005628962757761276;-5.857046427706635e-05
51;0.03984375;0.0004274285521855632;9.89893400145782e-05
52;0.040625;0.0002806375874719298;0.0002545189439487162
53;0.04140625000000001;0.0001265092879223507;0.0004038489337152427
54;0.0421875;-3.077795785236848e-05;0.0005425434448986101
55;0.04296875;-0.0001869606725078118;0.0006661619213872035
56;0.04375;-0.0003378130457640108;0.0007707424219696761
57;0.04453125;-0.000479262200198315;0.0008532928533467316
58;0.04531250000000001;-0.0006075117863842895;0.0009120292792902461
59;0.04609375;-0.0007191517788835432;0.0009462005751697123
60;0.046875;-0.0008112613378650414;0.0009556129096559373
61;0.04765625;-0.000881480650229402;0.0009401795532370715
62;0.0484375;-0.0009280547833983044;0.0008998419526035006
63;0.04921875000000001;-0.0009498363734992732;0.0008349412882346244
64;0.05;-0.0009462672422666549;0.0007467790065849348
65;0.05078125;-0.0009173535480819984;0.0006379222542114707
66;0.0515625;-0.0008636713093770323;0.0005119844779459747
67;0.05234375;-0.0007864131940254929;0.0003730019799787534
68;0.05312500000000001;-0.0006874722955340063;0.0002248482878938315
69;0.05390625;-0.0005695105356876197;7.108341851224485e-05
70;0.0546875;-0.0004359488089423178;-8.473233455040541e-05
71;0.05546875;-0.0002908207740658587;-0.0002386305437006033
72;0.05625;-0.0001384967349757127;-0.0003861728938276298
73;0.05703125000000001;1.664975177698093e-05;-0.0005228655474554865
74;0.0578125;0.0001705048656920543;-0.000644753839181677
75;0.05859375;0.0003193049384019114;-0.0007487539936534653
76;0.059375;0.0004595375347227082;-0.0008325277622071671
77;0.06015625;0.0005877588434453;-0.0008941225157002307
78;0.06093750000000001;0.0007004953289189629;-0.0009317863881236787
79;0.06171875;0.0007943615713578685;-0.000944167642883045
80;0.0625;0.0008663859241814185;-0.000930718703895047
81;0.06328125;0.0009143901154458929;-0.0008919309607962262
82;0.06406250000000001;0.0009372113309948498;-0.000829197052802651
83;0.06484375000000001;0.0009346480154650114;-0.0007444530527690962
84;0.065625;0.000907189408355367;-0.000639934857060097
85;0.06640625;0.0008557348085374672;-0.0005182288816505875
86;0.0671875;0.0007815022014505396;-0.0003824780450277704
87;0.06796875000000001;0.0006861719545195879;-0.0002364500420150559
88;0.06875000000000001;0.0005721187313829131;-8.432514206706199e-05
89;0.06953125;0.0004425093705750509;6.965531218948419e-05
90;0.0703125;0.00030114336183163;0.0002214187196097389
91;0.07109375;0.000152111346770069;0.0003670590327951047
92;0.07187500000000001;-5.195980891951151e-07;0.0005027396492236466
93;0.07265625000000001;-0.0001528225568366049;0.0006247199574007392
94;0.0734375;-0.0003009344459894284;0.0007295712061312025
95;0.07421875;-0.000440953167020662;0.0008144372155601816
96;0.07500000000000001;-0.0005689865315522814;0.0008771525675442579
97;0.07578125000000001;-0.0006813870940460311;0.0009161846161878351
98;0.07656250000000001;-0.0007750399518104519;0.0009305384180550405
99;0.07734375;-0.0008475260312762297;0.0009197716205885964
100;0.078125;-0.0008970961110313865;0.0008841173608542009
101;0.07890625000000001;-0.0009225510604264779;0.000824579890577648
102;0.07968750000000001;-0.0009231866065156957;0.0007428915650003801
103;0.08046875000000001;-0.0008988748672189695;0.000641360581487014
104;0.08125;-0.000850209202141275;0.0005227351780608679
105;0.08203125;-0.0007785709519061324;0.0003901625588036135
106;0.08281250000000001;-0.0006860450025654046;0.0002471955952872174
107;0.08359375000000001;-0.0005752420987954299;9.774077068633274e-05
108;0.08437500000000001;-0.0004491529661379288;-5.409417145183246e-05
109;0.08515625;-0.0003111039566518344;-0.0002041880383332116
110;0.0859375;-0.0001647691462106824;-0.0003485369482078735
111;0.08671875000000001;-1.413400608501837e-05;-0.0004833091392329502
112;0.08750000000000001;0.0001366453779037805;-0.0006048884575850435
113;0.08828125000000001;0.0002834425562764471;-0.0007099716766034805
114;0.0890625;0.0004223246015090775;-0.0007957101469101687
115;0.08984375;0.0005496287913241302;-0.0008598272334801331
116;0.09062500000000001;0.0006619892861916504;-0.0009006637793994034
117;0.09140625000000001;0.000756391615985535;-0.0009171735616173313
118;0.09218750000000001;0.0008302899736692839;-0.0009089267812421232
119;0.09296875;0.0008817468791220218;-0.0008761456909913864
120;0.09375;0.00090952546317627;-0.0008197382568625807
121;0.09453125000000001;0.00091310686524313;-0.0007412818328440546
122;0.09531250000000001;0.0008926691719486718;-0.0006429507403558737
123;0.09609375000000001;0.0008490823517902594;-0.0005274268253964512
124;0.096875;0.0007839305469644371;-0.0003978295244366586
