iT;t;p
0;0;1.03615e-319
1;0.00078125;2.07231e-319
2;0.0015625;3.10846e-319
3;0.00234375;4.14462e-319
4;0.003125;5.18077e-319
5;0.00390625;6.21693e-319
6;0.0046875;7.25308e-319
7;0.00546875;8.28924e-319
8;0.00625;9.32539e-319
9;0.00703125;1.03615e-318
10;0.0078125;1.13977e-318
11;0.00859375;1.24339e-318
12;0.009375;1.347e-318
13;0.0101563;1.45062e-318
14;0.0109375;1.55423e-318
15;0.0117188;1.65785e-318
16;0.0125;1.76146e-318
17;0.0132813;1.86508e-318
18;0.0140625;1.96869e-318
19;0.0148438;2.07231e-318
